tweet_id,target,text,span,category
1658217611304247307,Immigrant-Refugee_Arabic,"المغربيات مسوين آلاف البثوث في تك توك كلها عبارة عن قذف وسب وشتائم وإساءة للمرأة السعودية والسعوديات ،، وطبعا هذا الجزء بسيط جدا من بذاءة لسانهم والفاظهم البذيئة التي تمثلهم.

#ترحيل_المغربيات_مطلب","المغربيات مسوين آلاف البثوث في تك توك كلها عبارة عن قذف وسب وشتائم وإساءة للمرأة السعودية والسعوديات,هذا الجزء بسيط جدا من بذاءة لسانهم والفاظهم البذيئة التي تمثلهم","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1659141226585571331,Immigrant-Refugee_Arabic,"بالآونه الاخيرة اكثر الحسابات المتنكرة كسعوديين من المغرب 
يقومون بنشر الرذيلة والانحلال باسماء سعوديات قبيليات 
وذلك لتشويه سمعتهم عمداً ولزيادة المتابعين ورفع المشاهدات على حساب المرأة السعودية  #ترحيل_المغربيات_مطلب2","يقومون بنشر الرذيلة والانحلال,تشويه سمعتهم عمداً,#ترحيل_المغربيات_مطلب2","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1658083619892543488,Immigrant-Refugee_Arabic,سبحان الله ماتحسونهم جيران ذولاك يعني الفرق كيف ابوها مهتم فيها ومحافظ عليها وبين اللي تسحب شنطتها بكل مكان وتوزع امراض #ترحيل_المغربيات_مطلب #ترحيل_المغربيات_مطلب_امني,تسحب شنطتها بكل مكان وتوزع امراض,Swearing; Insult; Defamation; Dehumanization
1659890429288914945,Immigrant-Refugee_Arabic,"مو بس سحر.. كذلك هي تتنكر بحسابات.. مره تتنكر كرجل سعودي يسنقص ويسب المرأة السعودية ويمدحها هي.. ومره تتنكر كامرأة سعودية تشتم وتسب الرجل السعودي.. هي من افتعل المشاكل بين المرأة السعودية والرجل السعودي.
#ترحيل_المغربيات_مطلب
#ترحيل_المغربيات_مطلب2 https://twitter.com/WE_ARE_MBS/status/1659663152449978373…","#ترحيل_المغربيات_مطلب,#ترحيل_المغربيات_مطلب2","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1659524281552842753,Immigrant-Refugee_Arabic,كذا ممتاز حفاظاً على النظام .. وأتوقع يكون فيه اتفاقية معينة بين البورميين وباكستان  كشرط من شروط إعطاءه الجواز وإذا خالف النظام في السعودية تطبق هذه الشروط .. وأتوقع يكون فيه ترحيل أو غرامات كبيرة .. لكن العاقل منهم سيعيش معيشة طيبة .,"وإذا خالف النظام في السعودية تطبق هذه الشروط,وأتوقع يكون فيه ترحيل أو غرامات كبيرة,لكن العاقل منهم سيعيش معيشة طيبة","Exclusive/Discriminatory Discourse,Threat of Enmity; War; Attack; Murder; or Harm,Exclusive/Discriminatory Discourse"
1660026631963004930,Immigrant-Refugee_Arabic,بدون تحدى احنا مع الحكومه ولامانع عندنا بالعوده اهم شي يتم ترحيل السوريين,اهم شي يتم ترحيل السوريين,Exclusive/Discriminatory Discourse
1657688586286772225,Immigrant-Refugee_Arabic,"ليش
اذا انتوا اغبياء وماتفهمون للقانون
شبابنا المحاميين
سواء خريج الكويت
اوخريجين باحسن جامعات العالم
افضل مليون مره
من خرجين المستوردين تربية الموساد
اسم. وهو بالحقيقه جواسيس
ولصالح جاليتهم
براءه
وقف تنفيذ
ترحيل
عفستوا ابو القانون
من جبتوهم زادت حالات الطلاق","اغبياء,خرجين المستوردين تربية الموساد,جواسيس ولصالح جاليتهم,عفستوا ابو القانون,زادت حالات الطلاق","Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion"
1658213354672988162,Immigrant-Refugee_Arabic,انت افجر واكذب دحباشي الحضارم الجنوبيين كانو ف السعودية ويلقون كل إحترام وترحيب خلينا نرجع لموضوعنا كيف تحب ترحيل أبناء جلدتك من بلادنا الي بلادكم العربيه اليمنيه بالباص بالشيول ام بطريقة سعادة اللواء شلال علي شايع,"افجر واكذب دحباشي,ترحيل أبناء جلدتك من بلادنا,بالباص بالشيول ام بطريقة سعادة اللواء شلال علي شايع","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse,Threat of Enmity; War; Attack; Murder; or Harm"
1659790205505916936,Immigrant-Refugee_Arabic,ترحيل المصرين من مصر واجب وطنى لعيون السورى واليمنى والسوداني واى لاجى,ترحيل المصرين من مصر واجب وطنى,Threat of Enmity; War; Attack; Murder; or Harm
1659467833204436992,Immigrant-Refugee_Arabic,"ام شنطه حنا نطالب بترحيلكم لان ريحتكم فاحت في الرياض وجده
اعتراضك يدل ع انك بدون كرامه
روحي انشغلي بزباينك
#ترحيل_المغربيات_مطلب2
#ترحيل_المغربيات_مطلب","ام شنطه,نطالب بترحيلكم لان ريحتكم فاحت في الرياض وجده,اعتراضك يدل ع انك بدون كرامه,روحي انشغلي بزباينك,#ترحيل_المغربيات_مطلب2 #ترحيل_المغربيات_مطلب","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Symbolization"
1658432404942462978,Immigrant-Refugee_Arabic,"اقطع واخس يالمخربي 
نسوانكم ف كل مكان يتنكرون بأنهم ساعوطيات
#ترحيل_المغربيات_مطلب","المخربي,نسوانكم ف كل مكان يتنكرون بأنهم ساعوطيات,#ترحيل_المغربيات_مطلب","Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
1659545106087817216,Immigrant-Refugee_Arabic,نتمني من الحكومة الفلبينية انهم يسمعوا كلامك ويتم ترحيل جميع العمالة الفلبينية اللهم امين,يتم ترحيل جميع العمالة الفلبينية,Exclusive/Discriminatory Discourse
1659131594404249602,Immigrant-Refugee_Arabic,#ترحيل_اليمنيين_مطلب_امني_ووطثلاثه ارباع الشعب اليمني هارب اقصد مغترب وتاركين الأرض والعرض للحوثيين مستباح وهياطون في مواقع التواصل الاجتماعي وغيرها. اين الغيره والرجولة,"ثلاثه ارباع الشعب اليمني هارب اقصد مغترب,وتركين الأرض والعرض للحوثيين مستباح,هياطون في مواقع التواصل الاجتماعي","Exaggeration; Generalization; Attribution; Distortion,Defamation,Swearing; Insult; Defamation; Dehumanization"
1659712489351704582,Immigrant-Refugee_Arabic,"يارب عاجلًا غير اجل فكونا منهم 

#ترحيل_السوريين_مطلب_امني_ووطني","فكونا منهم,#ترحيل_السوريين_مطلب_امني_ووطني","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1659525548392038400,Immigrant-Refugee_Arabic,فديت ولي عهدنا وعسا عمره طويل من أولوياته تحقيق الرؤيا وراحة وسعادة شعبه السعودي وتحقيق رغبة شعبه برحيل السوريين إلى بلادهم والله ودي ابوس راسه على السعي في ترحيل السوريين إلى بلادهم وحنا شعبه وحنا درعه وهو كفو أحبه,"رحيل السوريين إلى بلادهم,السعي في ترحيل السوريين إلى بلادهم","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1659527363128860679,Immigrant-Refugee_Arabic,انا أؤيد ترحيل اللاجئين السوريين,ترحيل اللاجئين السوريين,Exclusive/Discriminatory Discourse
