tweet_id,target,text,span,category
1658098215789424896,Alevi,"@jahreindota Ne alakası var alevi sünniyle aq. Bu tartışmalar niye hortluyor sürekli. Sanki bir tek sünniler, bir tek aleviler en doğru ve haklı. Sıkışınca sar aleviye türbana…","Sanki bir tek sünniler, bir tek aleviler en doğru ve haklı.,Sıkışınca sar aleviye türbana…","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
1658163300436259072,Alevi,@kemalozturk2020 İyi akşamlar kemal bey instegram hesabınızada yazdım ama ben sinan oğana oyumu verdim ve ikinci turda oy kullanmayı düşünmüyorum ve sinan bey bize şurayı desdekliyelim dese dahi onu dinlemeyiz heleki alevi olan lgbd ci olan demirtaşcı yani pkk olan kılıçtaroğunu kesinlikle,heleki alevi olan,Exclusive/Discriminatory Discourse
1657983601596592128,Alevi,@umitozdag Lan solcu cenah siz tek başınıza sittim sene seçim kazanamsınız helde alevi  hdp pkk ile arasına çizği çekmeyi beceremiyen sizin on 11seçimdir elinize veren birisi ile o yüzden akp mhp den dahi oy alabilecek oğanı aday gösterin TEK CARENİZ BU.,"helde alevi hdp pkk ile arasına çizği çekmeyi beceremiyen,sittim sene seçim kazanamsınız","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
1658750515067404032,Alevi,@1CihanRojava Zaten seçmeni kk ya oy vermemiş.  Kk milliyetçilik de yapsa bu uğurda kendini de öldürse hem Kürt hem alevi asla cb yapmazlar,hem Kürt hem alevi asla cb yapmazlar,Exclusive/Discriminatory Discourse
1658592859925238016,Alevi,kılıçdaroğlu'nu alevi kürt sosyal demokrat diye seçtirmediler. seçimi kazanmış aslında. bunu anladık.,alevi kürt sosyal demokrat diye seçtirmediler,Exclusive/Discriminatory Discourse
1658222434019885056,Alevi,33 milyar alt yapı diyen Alevi cinli amca birde karısını da kullanıyor hasetten ölcem https://t.co/nt6cfgaSHY,Alevi cinli,Swearing; Insult; Defamation; Dehumanization
1658009740398543104,Alevi,"@AsyaBalluca Bir alevi olarak söylüyorum Asil dalyaraklar alevilere kimsenin oy vermicegini bildiği halde Kılıçdaroğlu huloglugu yapan alevilerdir amk !
Artik cuvaldizi kendinizr batirin!",Asil dalyaraklar alevilere kimsenin oy vermicegini bildiği halde Kılıçdaroğlu huloglugu yapan alevilerdir amk,Swearing; Insult; Defamation; Dehumanization
1658045174470065920,Alevi,"@odatv Mezhepçi Kılıçdaroğlunu tebrik etmek lazım. İlle de Alevi olacak ille de Alevi olacak dedi dedi aha sonuç ortada.. 10. Seçimi kaybetti dedeniz. Piriniz pironuz.

CHP genel başkanının lakabı piro. Bu mu laiklik. Allah hepsinin belasını versin haysiyetsiz herifler","Mezhepçi Kılıçdaroğlunu tebrik etmek lazım.,İlle de Alevi olacak ille de Alevi olacak,Allah hepsinin belasını versin haysiyetsiz herifler","Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1657981456730169088,Alevi,@kilicdarogluk Lan solcu cenah siz tek başınıza sittim sene seçim kazanamsınız helde alevi  hdp pkk ile arasına çizği çekmeyi beceremiyen birisi ile o yüzden oğanı aday gösterin TEK CARENİZ BU.,helde alevi,Exclusive/Discriminatory Discourse
1658417737499045888,Alevi,@zafer760 @OpDrBilgehan Uygun olmadigina dair kanitin nerde?  pkk yaptığına dair kanitini goster madem cok emin konuşuyorsun. Ya da kisaca evet tuncelili ve alevi olduğum icin düşmanım de,tuncelili ve alevi olduğum icin düşmanım de,Exaggeration; Generalization; Attribution; Distortion
