tweet_id,target,text,span,category
1393264629623795716,Jew,Allah o çocukların acısını sizin yanınıza bırakır ki sandınız? Sönmeyen Cehennem ateşinin odunu siz olacaksınız insallah!  #itrail #GazzeAtesAltinda,Sönmeyen Cehennem ateşinin odunu siz olacaksınız insallah!,Threat of Enmity; War; Attack; Murder; or Harm
1539649758364434433,Jew,"@username @username @username @username Ulan itrail senin topraklarına göz dikmiş sen burada hikaye anlatıyorsun hadi len ordan 
kim yer bunları",itrail,Swearing; Insult; Defamation; Dehumanization
1416496052929171464,Jew,"#IsraeliTerrorism #BabyKillerIsrael
#YıkılasınIsrail 
#LanetliIsrail 
PALESTINE  WILL  BE  FREE,  FROM THE RIVER TO THE SEA https://t.co/KvpKUr7aoV","#YıkılasınIsrail,#LanetliIsrail","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1557086969334734848,Jew,İsrail işgal güçlerinin saldırılarında Gazze'de yıkılan binalar… #İsrailHaddiniBil https://t.co/pzzkbrZxys,#İsrailHaddiniBil,Threat of Enmity; War; Attack; Murder; or Harm
1515724584447877130,Jew,"İşgalci yahudi varlığının saldırılarını durduracak açıklama geldi.! Bu saatten sonra artık  ABD ve ""İsrail"" düşünsün.!
#GözümüzKulağımızAksada
#OrdularAksaya https://t.co/icpamb458b",İşgalci yahudi varlığının,Swearing; Insult; Defamation; Dehumanization
1392371389768863744,Jew,#Katilİsrail #Netanyahu #FreePalestine #MescidiAksaOnurumuzdur https://t.co/viik2X9Nrv,#Katilİsrail,Exaggeration; Generalization; Attribution; Distortion
1515009705088802822,Jew,"Rabbim İsrail'in sonunu, Filistin ve Mescid-i Aksa'nın kurtuluşunu bizim elimizden nasip eylesin inşaAllah. Amin... #GözümüzKulağımızAksada https://t.co/BSiIgkKnnI",İsrail'in sonunu,Threat of Enmity; War; Attack; Murder; or Harm
1404926237563293701,Jew,"Gazze yine bomba altında..
#kahrolisrail",#kahrolisrail,Swearing; Insult; Defamation; Dehumanization
1515004863758966792,Jew,"@username Her yıl Ramazan’da şeytan bağlanır, görevini İsrail’e bırakır. Tüm dünya da bunu izler. Bu hiç değişmez..

#GözümüzKulağımızAksada
 #المسجد_الأقصي_بأعيننا
#AlAqsaUnderAttack","şeytan bağlanır, görevini İsrail’e bırakır",Exaggeration; Generalization; Attribution; Distortion
1393140245626036225,Jew,#Kahrolsunİsrail https://t.co/nXLCpHNYg9,#Kahrolsunİsrail,Threat of Enmity; War; Attack; Murder; or Harm
1396387279728484356,Jew,"Terör örgütü itrail askerleri, El Aksa Camii'ndeki muhafızlardan Fadi Aliyan'ı tutukladı.
Bu itrailcikler hâlâ rahat durmuyorlar https://t.co/kpgy6bhwK5","itrail,itrailcikler","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1393639295349633032,Jew,"..Sonrada Nübüvvet metodu üzer Rasidi hilafet olacak..Ahmet bin hanbel.
#AqsaCallsArmies
#OrdularAksaya
#Aqsa_calls_armies
#الأقصى_يستصرخ_الجيوش https://t.co/Slg0wAYXY4","#AqsaCallsArmies,#OrdularAksaya,#Aqsa_calls_armies,#الأقصى_يستصرخ_الجيوش","Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm"
