tweet_id,target,text,span,category
1658164779507130112,Armenian,@icewalkerny @nursse_hemsire @devrimarss Ben bilirim ki gerçek Kürt milliyetçidir vatanseverdir. Ve buyuk bır gururla oy verir di. ama ermeni tarafı tabiki vermez di. oda çok önemli değildi. Şimdi noldu seçimimi kazandı. Gerçek kürtleri pazarlık konusu yapmayın. Kürt Türk kardeştir. Bölücüler Kalleştir.,"ama ermeni tarafı tabiki vermez di,Bölücüler Kalleştir","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1658144072828165888,Armenian,@hmcan2003 @bilutfulmevla Karabağı ermeni pçlerinden kurtarıp özgürleştirip Türk dünyasına giden yolu Azerbaycan'a teslim ettiği için mi yoksa pkknın anasını s...tiği için mi yoksa hdp ile ortak aday çıkarmadığı için mi?,ermeni pçleri,Swearing; Insult; Defamation; Dehumanization
1658388779562941952,Armenian,"Ülkenin en büyük 2 sorunu 
1 batıda ki Yunan artıkları 
2 doğuda ki Ermeni artıkları 
#SinanOgan #tele1 #salı @ErdemOzveren571 #Secim2023",doğuda ki Ermeni artıkları,Swearing; Insult; Defamation; Dehumanization
1658628941148566016,Armenian,@10larMedya Ben ehli sunetle kardeşim diğeri alevi süryani ermeni kardeşim değil istemez siz kardeş un ateşiniz bizide yakacak,"diğeri alevi süryani ermeni kardeşim değil istemez,sizde yakacak","Exclusive/Discriminatory Discourse,Threat of Enmity; War; Attack; Murder; or Harm"
1658691987741236992,Armenian,@furkancerkes Aralarındaki tek fark biri ümmetçi Kürdistan diğeri ermeni menşeyli kürdistan istiyor ... https://t.co/yiYR0R2Ymr,ermeni menşeyli kürdistan,Exaggeration; Generalization; Attribution; Distortion
1658554216330265088,Armenian,Şu Kemalistler tatavasına da ayrı bir uyuz oluyorum ya. Oğlum yokuz yok. Siyasette temsiliyetimiz zp hkp mp üçgeninde sıkıştı kaldı Kemalist olan filan yok ortada. Siz terör örgütüne terör örgütü diyen ve Ermeni Soykırımı yalanını kabul etmeyen herkese Kemalist diyorsunuz aq https://t.co/fZYpyEIY0U,Ermeni Soykırımı yalanını,Exaggeration; Generalization; Attribution; Distortion
1658426354918981888,Armenian,"@gizliservis06 Anti-emperyalist Atatürk'ün kurduğu CHP'de ABD'nin uşaklığını yapan Ermeni @kilicdarogluk bölücüler ile işbirliği yaparak yönetimi ele geçirmek istiyor. Değişim değil,etnik kimlik ve inanç üzerinden Türkiye'yi parçalamak istiyor.Bunu bildiği halde 3 Maymun'u oynayan kitle oluştu. https://t.co/zvpQFN9H8Y","Ermeni @kilicdarogluk,bölücüler ile işbirliği yaparak yönetimi ele geçirmek istiyor,etnik kimlik ve inanç üzerinden Türkiye'yi parçalamak istiyor","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion"
1658432351544672000,Armenian,@dk_imamoglu @rahsangulsan Çocuklarımızın yarınlarını siz karartacaksının terör ve ermeni severleri çok yazık sizlere bu kadar vatan düşmanlığı olmaz.....?,"ermeni severleri,bu kadar vatan düşmanlığı","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1658242720530416128,Armenian,"@iyiparti 
bu nasıl bir ülkücülüktür bu Ermeni soylarına bu PKK lı piçlere nasıl oy veriyorsunuz.
Hadi gözünüz kör kulaklarınız da mı duymuyor.
Yazıklar olsun. https://t.co/3RFMkjPf0G",Ermeni soylarına,Swearing; Insult; Defamation; Dehumanization
1658741415176797952,Armenian,@hdpdemirtas Bu ülkede PKK terör örgütüdür demedikleri sürece ister yeşil ister kırmızı parti olsunlar hepsi VATAN HAİNİDİR. Kürtlük diye bir mesele yok. Türban meselesi nasıl ortadan kalktı ise buda kalkacak inşallah. Ermeni tohumları be zamandır Müslüman Kürt’lerin hakkını savunmuş,Ermeni tohumları,Swearing; Insult; Defamation; Dehumanization
1658358007456058880,Armenian,"@sahingunes @misvakcaps Turkiyede hukumette yönetimdeki 
Recep Tayyip Erdogan Suleyman Soylu Hulusi Akar Hakan Fidan
sayesinde terörist katil ermeni yahudi pkk/ypgliler istanbul ve diger şehirlerde bebekleri çocuklari öldüremiyor
Laikchpiphdptesil hukumetinde her sehirde yeniden bebeklere saldirir pkk https://t.co/mUOBCmYoh6",terörist katil ermeni,Swearing; Insult; Defamation; Dehumanization
1658125320073953024,Armenian,@PiyasaTurkiye Sence ermeni biri ülkenin menfaatini düşünebilir mi? Düşünmez. O halde durmak yok yola devam. İzleyin,ermeni biri ülkenin menfaatini düşünebilir mi? Düşünmez.,Exaggeration; Generalization; Attribution; Distortion
1658339894719136000,Armenian,@servet_ozbay @tr_biriilerivar Sen bildiğini oku biz ermeni lez lgpt gay PKK ibletor yani chp zihniyetine meydanı bırakmıyacağız,ermeni lez lgpt gay PKK ibletor yani chp zihniyetine,Swearing; Insult; Defamation; Dehumanization
