Tweet_id,Target,Text,Span,tokens,tags
1393204377863733250,Hedef: Yahudi Karşıtı,"Cumhurbaşkanı @username: 

""Eğer İsrail'in Filistin'de ve bilhassa Kudüs'te sergilediği saldırganlığı derhal durdurmazsak, yarın herkes kendini bu vahşi zihniyetin hedefinde bulacaktır.""

#FilistinYalnızDeğil

https://t.co/FG7ojblPVO",vahşi zihniyetin,"[""Cumhurba\u015fkan\u0131"", ""username"", ""E\u011fer"", ""\u0130srail"", ""in"", ""Filistin"", ""de"", ""ve"", ""bilhassa"", ""Kud\u00fcs"", ""te"", ""sergiledi\u011fi"", ""sald\u0131rganl\u0131\u011f\u0131"", ""derhal"", ""durdurmazsak"", ""yar\u0131n"", ""herkes"", ""kendini"", ""bu"", ""vah\u015fi"", ""zihniyetin"", ""hedefinde"", ""bulacakt\u0131r"", ""FilistinYaln\u0131zDe\u011fil"", ""https"", ""t"", ""co"", ""FG7ojblPVO""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
1658432058551685120,Hedef: LGBTI+ Karşıtı,evet bahsini ettikleri özgür degilizin açılimi bu ha bir de sapkın cinsel fantezilerini ana babalarinin kabul etmemesi falan. Keşke hollanda da dogsalardi da böyle içi fos bi jenerasyona evlatlarimizi emanet etmek zorunda kalmayacak olsaydık. https://t.co/Wh1GYrhf3F,"sapkın cinsel fantezilerini,Keşke hollanda da dogsalardi,içi fos bi jenerasyona","[""evet"", ""bahsini"", ""ettikleri"", ""\u00f6zg\u00fcr"", ""degilizin"", ""a\u00e7\u0131limi"", ""bu"", ""ha"", ""bir"", ""de"", ""sapk\u0131n"", ""cinsel"", ""fantezilerini"", ""ana"", ""babalarinin"", ""kabul"", ""etmemesi"", ""falan"", ""Ke\u015fke"", ""hollanda"", ""da"", ""dogsalardi"", ""da"", ""b\u00f6yle"", ""i\u00e7i"", ""fos"", ""bi"", ""jenerasyona"", ""evlatlarimizi"", ""emanet"", ""etmek"", ""zorunda"", ""kalmayacak"", ""olsayd\u0131k"", ""https"", ""t"", ""co"", ""Wh1GYrhf3F""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1565104167731044352,Hedef: Yunan Karşıtı,"@username @username Ak parti Türk düşmanı senin savunduğunu gibi Yunan dölü seni Fesli kafa seni,Ottoman İngiliz uşağı Troll seni",Yunan dölü,"[""username"", ""username"", ""Ak"", ""parti"", ""T\u00fcrk"", ""d\u00fc\u015fman\u0131"", ""senin"", ""savundu\u011funu"", ""gibi"", ""Yunan"", ""d\u00f6l\u00fc"", ""seni"", ""Fesli"", ""kafa"", ""seni"", ""Ottoman"", ""\u0130ngiliz"", ""u\u015fa\u011f\u0131"", ""Troll"", ""seni""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1658001144730320896,Hedef: Arap Karşıtı,"Kürtler üzerine düşeni yaptı. ama mülteci politikalarında muzdarip gece gündüz mızmızlayanlar ve evine 1 kilo soğan götüremeyen arap seviciler yine ikiyüzlü davrandı.
Bundan sonrası da size müstehaktır https://t.co/odBSAd6zFG",arap seviciler,"[""K\u00fcrtler"", ""\u00fczerine"", ""d\u00fc\u015feni"", ""yapt\u0131"", ""ama"", ""m\u00fclteci"", ""politikalar\u0131nda"", ""muzdarip"", ""gece"", ""g\u00fcnd\u00fcz"", ""m\u0131zm\u0131zlayanlar"", ""ve"", ""evine"", ""1"", ""kilo"", ""so\u011fan"", ""g\u00f6t\u00fcremeyen"", ""arap"", ""seviciler"", ""yine"", ""ikiy\u00fczl\u00fc"", ""davrand\u0131"", ""Bundan"", ""sonras\u0131"", ""da"", ""size"", ""m\u00fcstehakt\u0131r"", ""https"", ""t"", ""co"", ""odBSAd6zFG""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1391544193965830145,Hedef: Yahudi Karşıtı,"@ihsanaktas #Teröristİsrail BASKINLARLA,ZULÜMLERLE MÜSLÜMANLARI DURDURACAĞINI MI SANIYORSUN...
O TOPRAKLAR SANA MEZAR OLACAK...
#KudusKirmiziCizgimizdir 
#KuduesBizimdir 
#KuduesİcinKıyama 
#MescidiAksaKırmızıCizgimizdir 
#MescidiAksaOnurumuzdur 
#MescidiAksaYanlızDeğildir 
#MescidiAksa",O TOPRAKLAR SANA MEZAR OLACAK,"[""ihsanaktas"", ""Ter\u00f6rist\u0130srail"", ""BASKINLARLA"", ""ZUL\u00dcMLERLE"", ""M\u00dcSL\u00dcMANLARI"", ""DURDURACA\u011eINI"", ""MI"", ""SANIYORSUN"", ""O"", ""TOPRAKLAR"", ""SANA"", ""MEZAR"", ""OLACAK"", ""KudusKirmiziCizgimizdir"", ""KuduesBizimdir"", ""Kudues\u0130cinK\u0131yama"", ""MescidiAksaK\u0131rm\u0131z\u0131Cizgimizdir"", ""MescidiAksaOnurumuzdur"", ""MescidiAksaYanl\u0131zDe\u011fildir"", ""MescidiAksa""]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0]"
1393074019948244992,Hedef: Yahudi Karşıtı,"@username 
#GenocideinGaza  #MescidiAksa #Kudusİslamındır
#MescidiAksaOnurumuzdur 
#Aksadabaskınvar #KudüsBizimdir
#AlAqsaMosque #PalestineWillBeFree https://t.co/9Mx4nfFPSg",,"[""username"", ""GenocideinGaza"", ""MescidiAksa"", ""Kudus\u0130slam\u0131nd\u0131r"", ""MescidiAksaOnurumuzdur"", ""Aksadabask\u0131nvar"", ""Kud\u00fcsBizimdir"", ""AlAqsaMosque"", ""PalestineWillBeFree"", ""https"", ""t"", ""co"", ""9Mx4nfFPSg""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1568757223421083648,Hedef: Yunan Karşıtı,"Bundan sonra,EGE'de taciz de bulunan Yunan botları sorgusuz sualsiz ya esir alınmalı yada vurulmalıdır... https://t.co/hqAo8Eahgf",taciz de bulunan Yunan botları sorgusuz sualsiz ya esir alınmalı yada vurulmalıdır,"[""Bundan"", ""sonra"", ""EGE"", ""de"", ""taciz"", ""de"", ""bulunan"", ""Yunan"", ""botlar\u0131"", ""sorgusuz"", ""sualsiz"", ""ya"", ""esir"", ""al\u0131nmal\u0131"", ""yada"", ""vurulmal\u0131d\u0131r"", ""https"", ""t"", ""co"", ""hqAo8Eahgf""]","[0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0]"
1658183237485711104,Hedef: Ermeni Karşıtı,@panel_revendeur @ozanozcnn @pusholder Kılıçdaroğluna oy verenler Ermeni mi oluyor. Ülkeyi Ermenilere versek bu kadar mahvedemezler. Halkı yozlaştırıyorsunuz. 100 yıl önce tüm ülke birlik olmuştuk o zamanda senin gibi birileri vardı işte.,,"[""panel_revendeur"", ""ozanozcnn"", ""pusholder"", ""K\u0131l\u0131\u00e7daro\u011fluna"", ""oy"", ""verenler"", ""Ermeni"", ""mi"", ""oluyor"", ""\u00dclkeyi"", ""Ermenilere"", ""versek"", ""bu"", ""kadar"", ""mahvedemezler"", ""Halk\u0131"", ""yozla\u015ft\u0131r\u0131yorsunuz"", ""100"", ""y\u0131l"", ""\u00f6nce"", ""t\u00fcm"", ""\u00fclke"", ""birlik"", ""olmu\u015ftuk"", ""o"", ""zamanda"", ""senin"", ""gibi"", ""birileri"", ""vard\u0131"", ""i\u015fte""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1569615306414252033,Hedef: Yunan Karşıtı,"Miçotakis, ""Adalarımıza gece geleceklerini söyleyenleri, gün ışığında bekliyoruz"" #YunanistanAteşleOynuyor https://t.co/po9eDGYJ3f",#YunanistanAteşleOynuyor,"[""Mi\u00e7otakis"", ""Adalar\u0131m\u0131za"", ""gece"", ""geleceklerini"", ""s\u00f6yleyenleri"", ""g\u00fcn"", ""\u0131\u015f\u0131\u011f\u0131nda"", ""bekliyoruz"", ""YunanistanAte\u015fleOynuyor"", ""https"", ""t"", ""co"", ""po9eDGYJ3f""]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
1521161520780087296,Hedef: Yahudi Karşıtı,"@username @username Unuttuğun birşey var.
bu görüşme sonrası filistinliler ramazan boyunca mescid-i aksa 'da iTrail zulmü olmadan rahatca ibadetlerini yapabildi..",iTrail zulmü,"[""username"", ""username"", ""Unuttu\u011fun"", ""bir\u015fey"", ""var"", ""bu"", ""g\u00f6r\u00fc\u015fme"", ""sonras\u0131"", ""filistinliler"", ""ramazan"", ""boyunca"", ""mescid"", ""i"", ""aksa"", ""da"", ""iTrail"", ""zulm\u00fc"", ""olmadan"", ""rahatca"", ""ibadetlerini"", ""yapabildi""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0]"
