tweet_id,target,text,span,category
1657927550855773952,LGBTI+,"Beni rahatsız eden her işlerinde bir şeytanlık var, halkı düşünüyormuş gibi yapmaları insanların özel hayatlarını deşifre etmesi ama kendilerinin sapık ve bir çoğunun biseksüel olması,bunların hepsinin hainlikte rızası var","sapık ve bir çoğunun biseksüel olması,bunların hepsinin hainlikte rızası var",Exaggeration; Generalization; Attribution; Distortion
1658005454822285056,LGBTI+,@bernalacin35 Defol şeytan CHP pkk lgbt lilere versinler şu sapık zihniyete bak sen geberdiğinde görürsün kim hak ediyor kıyametin kopacak artık son pişmanlık fayda etmez yol yekınken tövbe et rabbine sarıl dinsiz imansız gitme öbür tarafa,"Defol şeytan CHP pkk lgbt lilere versinler şu sapık zihniyete bak sen geberdiğinde görürsün kim hak ediyor kıyametin kopacak artık,dinsiz imansız gitme öbür tarafa","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse"
1658005670178725888,LGBTI+,"@MAturkce Duygu sümürüsü para etmedi. 6 milyon oy 4 milyona indi. Sadece Êvdocularin; sapık karisiz kocasiz, LGBT'li olmak, devletsiz, kimliksiz, dünyayı deyiştime solculuk fikirlerinin kürde dayatması  yüzünde daha çok küdü kaybedecektir. Kürdü çantada keklik  gören aptallar bitecek....","sapık karisiz kocasiz, LGBT'li olmak",Swearing; Insult; Defamation; Dehumanization
1658015459822690048,LGBTI+,"@AlparslanCansiz @nevsinmengu Türk kadını siha,iha,helikopter,tank ,uçak yapıyor.Kullanıyor.
Okuyor,okutuyor,çocuk yetiştiriyor.
Kadın kadına tarzı LGBTİ den bahsediyorsanız Türk kadını tarihte de bugün de sapkın olmamıştır.",sapkın olmamıştır,Swearing; Insult; Defamation; Dehumanization
1658028859759943936,LGBTI+,@jevlyin @DisiaslanI9o5 @LayluNada @ekrem_imamoglu Ulan profilinde l*gbt renkleri var. Sapkınlığın en âlâsı sizsiniz. Bu ülke sizden nasıl kurtulacağını tartışmalı. Senin zihniyetin bu ülkenin gençliğinin altına döşenmiş bir dinamittir. Ama gün gelecek hiç biriniz bu ülkede yer bulamayacaksınız. Sapkın zihniyetliler sizi.,"Ulan profilinde l*gbt renkleri var. Sapkınlığın en âlâsı sizsiniz.,Bu ülke sizden nasıl kurtulacağını tartışmalı.,Senin zihniyetin bu ülkenin gençliğinin altına döşenmiş bir dinamittir.,Ama gün gelecek hiç biriniz bu ülkede yer bulamayacaksınız. Sapkın zihniyetliler sizi.","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm"
1658029106632457984,LGBTI+,"@ReyyanBilge Sadece dindara söz söyleyenlere bölücü CHPKK ne dersiniz  sapkın Lbgt destekleyenlere ne dersiniz
Yatacak yeriniz yok bunlara sözünüz yok mu",sapkın Lbgt destekleyenlere,Swearing; Insult; Defamation; Dehumanization
1658029129579494912,LGBTI+,@omerhankrm Özündeki meziyetlerden kasıt nedir lgbt gibi sapkın şeyleri desteklemek mi zannediyorsun kuranı bu işleri alet etmeyin tırnakla ayet çekip bunu da kendinizi destekler gibi paylaşmayın,lgbt gibi sapkın şeyleri desteklemek,Swearing; Insult; Defamation; Dehumanization
1658048653376859904,LGBTI+,"Muhalefet seçimi kaybetti. Bitti!

•Pkk'nın siyasi kanadına normal bir siyasi parti gibi yaklaşır, TMK bakış açısı ile bakmazsanız,
•Ülkenin varlığına kasteden, FETÖcülere, mağdur gözüyle yaklaşırsanız,
•Özü pedofili olan sapkın LGBT sevdanızı bitirip, karşı durmazsınız++",Özü pedofili olan sapkın LGBT sevdanızı bitirip,Swearing; Insult; Defamation; Dehumanization
1658057860943625984,LGBTI+,@aykiricomtr Bu götverenler sktirolsun gitsin ülkemden. Ne meraklıymışlar Türk yaprağı yemeye!!!Asıl lgbt bunlar bu sapık ortadogu çöl fareleri!,"götverenler sktirolsun gitsin ülkemden.,lgbt bunlar bu sapık ortadogu çöl fareleri","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1658136181228412928,LGBTI+,"itperestlik 
lgbt destekciliği
feminizm 
ahlaksızlık 
gibi sapkın fikirleri aklınızdan söküp atacaksınız yoksa anadolu halkı söküp atmasını bilir","sapkın fikirleri aklınızdan söküp atacaksınız,anadolu halkı söküp atmasını bilir","Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm"
1658150332675895040,LGBTI+,"@lillwsh İstanbul sözleşmesini kabul etmiyorum tarihten bu yana geleneklerimiz aile  hukukumuzu bozacak sapkın zihniyetlerin islam ağırlıklı olan ülkede işi olamaz. 
Dinde kimse kimseyi zorlamıyor bunuda tayyipten bilirsiniz. Herkes istediği gibi takılıyor.",sapkın zihniyetlerin islam ağırlıklı olan ülkede işi olamaz,Exclusive/Discriminatory Discourse
1658174780418187008,LGBTI+,@fanatik_kaspar @AvOzlemZengin Kesinlikle reis artık bi eleme yapması lazım. @RTErdogan  hem partimize #lgbt giremez hemde #lgbt sapık filmi o kadar beğenmişki iki kere giden bu şahısları yanında tutuyor.bu ne perhiz ne turşu lahanası....,lgbt sapık filmi,Swearing; Insult; Defamation; Dehumanization
1658180984049656064,LGBTI+,"-Terör örgütünün siyasi ayağının desteklediği adayı desteklemediğim için
-Yerli ve milli duruş sergilemeyen adayı desteklemediğim için
-LGBT gibi sapkın eğilimli olanların destelediği adayı destelemediğin için++++",LGBT gibi sapkın eğilimli olanların,Swearing; Insult; Defamation; Dehumanization
1658187676351095040,LGBTI+,"Bu örnekle seçim kazanmaya çalışıyorlar. Hemde İçimizdeki sapkın Lbgt denilen grubu destekleyen,her köşe başında elinde içki şişeleri olan , sokakta öpüşmekten bile çekinmeyenler bunlar . https://t.co/maUPobOu7o","içimizdeki sapkın Lbgt denilen grubu destekleyen,elinde içki şişeleri olan , sokakta öpüşmekten bile çekinmeyenler bunlar","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1658213051143692032,LGBTI+,@rnghonz @TugrulTurkes @DrSinanOgan @kilicdarogluk @meral_aksener @umitozdag Hahaha iftiracı kurtçuk! Gayette Atatürk Milliyetçisi biriyim. Hdp ve türevlerine 1 oyum bile nasip olmamıştır. Ben teröre karşı kürtleri kucaklayalım ki şu adamdan kurtulalım derken siz erkek sevici sapık bir şekilde kucağımızı açtık yazdınız! Ayyy nasıl Bozkurtluk bu? Gaykurt!,"erkek sevici sapık,Gaykurt!","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
