tweet_id,target,text,span,category
1658223921366180096,Arab,"@KemalMelissa @umitozdag Arap, sağdan sola okuyunca para okunur...

Para varken arapta, arap sabunu bahane...

İnsan olan herkes istediği yerde olursa, demokrasi ve özğüük olur...","Arap, sağdan sola okuyunca para okunur...,Para varken arapta, arap sabunu bahane...","Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion"
1658071456683639040,Arab,"EYT,Yİ ARAP SAÇINA ÇEVİRDİNİZ!
@RTErdogan @dbdevletbahceli @ErbakanFatih @Mustafa_Destici 
@fahrettinaltun @csgbakanligi @vedatbilgn 
@_ozkal_
#Pazartesi
#EmeklilikteBagkuraTakilanlar",ARAP SAÇINA ÇEVİRDİNİZ,Symbolization
1658204236264374016,Arab,"@Muharre37098771 @isilgunesmunes Evet 2018 de oldugu gibi böyle bir coğrafyada kaç yüzyıllık bi devletin ali menfaatlerini 3/2 eğitimsiz,biatçı arap ve avrupa özentisi uçuk kaçık insanların oy tercihlerine bırakılamayacak kadar değerlidir…

Not:oyumu millet ittifakına verdim","3/2 eğitimsiz,biatçı arap",Swearing; Insult; Defamation; Dehumanization
1658023295504065024,Arab,"@ChefEmine Bu ülkede milliyetçi yok.
Bunu kabul et. MHP'ye oy verenler bu ülkenin Arap çölüne dönüşmesine izin verenlerdir. Gaffar Okkan'ın katillerini vekil yapanlardır. Milliyetçi ayaklarını yemiyoruz. Dindarlar ile mutlu mutlu yaşasınlar şimdi",bu ülkenin Arap çölüne dönüşmesine izin verenlerdir,Exclusive/Discriminatory Discourse
1657931365692603904,Arab,@filmvefilimler @serakadigil Arap yalamalari fetocu pisliklerin yerine  pkkli pislikleri ve eski akpli fetoculeri koyup zorla sececeksiniz dediler bu millete . Bu millette cevabi verdi.,"Arap yalamalari,fetocu pisliklerin yerine  pkkli pislikleri ve eski akpli fetoculeri koyup zorla sececeksiniz dediler bu millete","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse"
1658727687626564096,Arab,@umitozdag Davul zurnayla Pkk lıları karşıyan Türk Bayrağı Türk kelimesine karşı çıkan hüd apar lılar Sahipsiz kadınları sahiplendiricez diyenleri meclise sokanları düşünün lütfen TÜRKİYE Yİ MÜLTECİ ARAP YARIMADASINA ÇEVİRENLERİ esenyurt a gitmenizi dolaşsanız çok daha iyi anlarsınız durumu,TÜRKİYE Yİ MÜLTECİ ARAP YARIMADASINA ÇEVİRENLERİ,Exaggeration; Generalization; Attribution; Distortion
1658048005352694016,Arab,"@BRCNYLDRM78 Fetöye ne istedilerse veren❗️, osloda pkk ya açılan❗️şehide kelle diyenlere❗️hizbullahı meclise sokanlara❗️ ülkeyi arap mülteci kampına çevirenlere❗️ destek ver @umitozdag @DrSinanOgan tarihe ne renk kalemle yazılacaksınız? Siyasi çöp mü olacaksınız kahraman mı?",ülkeyi arap mülteci kampına çevirenlere,Exclusive/Discriminatory Discourse
1657975757514080000,Arab,Bu ülkede yaşayan solcusu ulusalcısı köylüsü şehirlisi depremzedesi izmirlisi Hataylısı tiplisi tipsizi terörist dediğiniz o halk kadar şerefli olsaydınız ülkenize bahar gelebilirdi. Size yeni yüzyılda gelse gelse Arap baharı gelir artık,Arap baharı gelir artık,Exclusive/Discriminatory Discourse
1658493452798030080,Arab,"@suleymansoylu amerikanin ve avrupanin hapishanelerinde ne jadar urh nhastasi,eroyinman,hapci,cocuk tecavüzcüsü,katil,ruh hastasi manyak varsa sakal biraktirip arap elibisesi geydirip Müslüman ISID;DEAS diye israyile köpeklik icin ortadoguya saldilar. basimizada baska bir modeli diktiler...","arap elibisesi geydirip Müslüman ISID;DEAS diye israyile köpeklik icin ortadoguya saldilar,sakal biraktirip arap elibisesi geydirip","Exaggeration; Generalization; Attribution; Distortion,Symbolization"
1658136802559942912,Arab,"@fatihportakal @szctelevizyonu Hayır diyen duyarlı seçmenimiz şunu kendinize sorun ;
Küçük bir ihtimal dahi olsa çağdaş laik bir Türkiye Cumhuriyeti mi?
Yoksa Arap adetlerine göre yönetmeye heveslenmişlerin kıskacında yaşanacak  karanlık bir süreç mi?",Arap adetlerine göre yönetmeye heveslenmişlerin kıskacında yaşanacak karanlık bir süreç,Exaggeration; Generalization; Attribution; Distortion
