tweet_id,target,text,span,category
1556025770488774658,Jew,"Çocuk katilleri!
Lanetli kavim!
Çöllere düşün son kez ve bir daha çıkamayın.

#GazaUnderAttack 
#GazzeAtesAltında 
#Gazze","Çocuk katilleri!,Lanetli kavim!,Çöllere düşün son kez ve bir daha çıkamayın.","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm"
1473971550542090246,Jew,Bu itrail her seyiyle insanlığın yüzkarasi. #RobertMaloneYalnızDeğilsin https://t.co/6NY2XiLpQ6,"it,her seyiyle insanlığın yüzkarasi.","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1394653950444457988,Jew,Kadınlarla çocuklar da baskaldırdıysa artık yeryüzunden silinme vaktin gelmiştir Allahın izniyle itrail https://t.co/CZjLSmRHTZ,"yeryüzunden silinme vaktin gelmiştir Allahın izniyle,itrail","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1392252623902978049,Jew,"@username #Yıkılsınİsrail 
#Kahrolsunİsrail 
#Yansınİsrail
#ALLAHINNALETİİSRAİLİNÜZERİNEOLSUNİNŞALLAH
#israilteroerdevletidir 
😭😭😭","#Yıkılsınİsrail,#Kahrolsunİsrail,#Yansınİsrail,#ALLAHINNALETİİSRAİLİNÜZERİNEOLSUNİNŞALLAH,#israilteroerdevletidir","Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm,Exaggeration; Generalization; Attribution; Distortion"
1392494449675145217,Jew,#AllahbelanıversinİSRAİL https://t.co/L4B00y31yE,#AllahbelanıversinİSRAİL,Threat of Enmity; War; Attack; Murder; or Harm
1393467610600288257,Jew,"Selamün Aleyküm #Türkiye'm
Günümüz Aydın Gönlümüz Huzurla Dolsun
Rabbim Mübarek Günlerde Soysuz #Katilİsrail #Soykırımcıİsrail
#SoyunKurusunİsrail'i Kahru Perişan Eylesin İnşallah
#Amin https://t.co/Pjl9bj0K8q","Soysuz #Katilİsrail #Soykırımcıİsrail #SoyunKurusunİsrail'i,Kahru Perişan Eylesin İnşallah","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm"
1393484053677056001,Jew,"Şehadetin mübarek olsun cennet kuşu🕊
@yahyazned

#freepalestine🇵🇸 
#freequds🇵🇸 
#freegaza🇵🇸 
#gazaunderattack 
#gazzedekatliamvar 
#المسجد_الأقصى 

#işgalciisrail 
#i̇sraildevletdeğildir 
#siyonistisrail 
#israelterrorist 
#soysuzisrailkopekleri https://t.co/Wv7UGYKHfQ","işgalciisrail,i̇sraildevletdeğildir,siyonistisrail,israelterrorist,soysuzisrailkopekleri","Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1393671699623723010,Jew,"Allah ın gazabı  üzerine olsun..İsrail kendi kanında boğül inşaallah yakahar yakahar  
#Katilİsrail https://t.co/UsdQ4sIVpS","İsrail kendi kanında boğül inşaallah yakahar yakahar,#Katilİsrail","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1394971396929896448,Jew,@username Bu ve bütün fotografları aklınıza kazıyın asla unutmayın ve ne olursa olsun yahudi itlerine asla merhamet göstermeyin! Bir gün itrail yok olunca oradaki yahudi itlerine yapacaklarımızı düşünemiyorum bile 🇹🇷🇵🇸,"yahudi itlerine asla merhamet göstermeyin,it,itrail,yahudi itlerine yapacaklarımızı düşünemiyorum bile","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm"
1392833730495107078,Jew,@username @username Bunların hepsi şerefsiz numara yapıyorlar bak filistin saldırıyor algısı #Katilİsrail,"Bunların hepsi şerefsiz,numara yapıyorlar,Katilİsrail","Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1391693183155904515,Jew,"Ya Rabbi sen katından yardımcılarınla İsrail barbarlarının zulmüne son ver, bizleri de yardımcıların içerisinde bir nefer eyle #OrdularAksaya",İsrail barbarlarının,Swearing; Insult; Defamation; Dehumanization
1515156707390984193,Jew,İngilizi siyonisti hiç rahat durmaz bu alçaklardan dost müttefik olmaz alçakların sözüne itibar edilmez #GözümüzKulağımızAksada,İngilizi siyonisti hiç rahat durmaz bu alçaklardan dost müttefik olmaz,Swearing; Insult; Defamation; Dehumanization
1391920935343636483,Jew,Çocukların öldüğü hiçbir dava haklı değildir #Katilİsrail https://t.co/WrGcP9aKdS,"Şerefsizler, caniler,Katilİsrail","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1393264750969163780,Jew,"Binlerce Ürdün'lü kardeşimiz #Filistin sınırına akın ediyor...
İnşallah, 
Cumhurbaşkanımız Sn. @username’ın güçlü Liderliği ve öncülüğünde yürüttüğü yoğun Diplomasi ve çabalar neticesinde İslam ümmeti birleşir Terör devleti #Katilİsrail'in sonu gelir.🇹🇷🇦🇿
https://t.co/q5f8NUX4WO",Terör devleti #Katilİsrail'in sonu gelir.,Threat of Enmity; War; Attack; Murder; or Harm
1393909569798213634,Jew,KAHROLSUN İSRAİL #FreePalestine #GazaUnderAttack #FilistinYalnizDegil #DünyaFilistininYanında,KAHROLSUN İSRAİL,Threat of Enmity; War; Attack; Murder; or Harm
1498727839524429831,Jew,"@username Amin amin amin. 🤲
#FreePalestine #Katilİsrail",#Katilİsrail,Swearing; Insult; Defamation; Dehumanization
1392474492610433024,Jew,"#MescidiAksadaBaskınVar 
#MescidiAksaOnurumuzdur 
#Teröristisrail https://t.co/5kCnUoa7WC",Teröristisrail,Exaggeration; Generalization; Attribution; Distortion
1394185880932429825,Jew,"Adı: Şeyma
Filistinli bir Hâfız.
1 yıl sonra Diş Doktoru olacak, Bayram’dan sonra ise evlenecekti.

Ancak İsrail, Şeyma'nın evini savaş uçakları ile bombaladı. Şeyma ve ailesi (12 kişi) şehit oldular.
#katilisrail #thekillerisrael 
#filistin #gazze 
#SonDakika

#HopeToGaza https://t.co/Lg0iETa0Ov","katilisrail,thekillerisrael","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1393434648647192577,Jew,"#KudüseYürüyoruz SPONSORU ŞEYTAN OLAN KATİL, SİYONİST, İŞGALCİ israilin EBEDİ YURDU CEHENNEMDİR KUDUS İSLAMDIR SONSUZA KADAR DA İSLAM KALACAK  ...   #FilistinYalnızDeğil","KATİL, SİYONİST, İŞGALCİ",Swearing; Insult; Defamation; Dehumanization
1557968706315190277,Jew,"@username @username @username Vatansız olmak nasıl bir duygu?
Gerçekten merak ediyorum açıklar mısın?
Ya da vatanınız var da biz mi bilmiyoruz. Pensilvanya'nın olduğu ABD mi, yoksa itrail mi?
İnsanların yatak odalarını ifşa eden cevheri nerenin insanı?
Müslümanlıkta var mı bu kaset, şantaj montaj işleri?",itrail,Swearing; Insult; Defamation; Dehumanization
1392613428691357699,Jew,"Netenyahunun emri ile halka silah dagıtıldıgı,yahudilerin sokak aralarinda gördüğü filistinlilere ateş ettiği rapor ediliyorDünya israil ve Filistindeki duruma resmen seyirci kalmayı seçiyor.Bu vahşet israilin bu saldırgan tutumu karşısında ciddi adımlar atılmalı
#Katilİsrail https://t.co/SMrvKSduEC","yahudilerin sokak aralarinda gördüğü filistinlilere ateş ettiği,Katilİsrail","Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
