tweet_id,target,text,span,category
1394892202615115777,Jew,Filistinde Müslüman bir çocuksanız 15 saniyeniz bile olmaz. Alçaksın israil. Terörist devletisin israil. #GazzedeSoykırım #Katilİsrail #AlAqsaUnderAtrack https://t.co/bgxkhA3HqM,"Alçaksın israil.,Terörist devletisin israil.,#Katilİsrail","Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization"
1394560496934789126,Jew,"Filistinli çocuk İsrail'e doğru baktı....
Soğuktu İsrail'de hava..

Ve elerini kaldırarak şöyle dedi çocuk.
""İsrail üşüyor, Allahım yak onları"" 

#HopeTheGaza #HearToGaza #GazaUnderAttak #IsraeliTerrorism #Katilİsrail #freepalastine","Allahım yak onları,#Katilİsrail","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1394230003769004033,Jew,"Bir kez daha lânet olsun.
#Katilİsrail 
#Bebekkatiliİsrail 
#FilistinDireniyor 
#FilistinHalkıYalnızDeğildir.
#MescidiAksaOnurumuzdur 
#MescidiAksaKırmızıÇizgimizdir https://t.co/ERfVdl4jks","#Katilİsrail,#Bebekkatiliİsrail","Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion"
1568677339520704515,Greek,@username @username #YunanTohumları  ..,#YunanTohumları,Swearing; Insult; Defamation; Dehumanization
1393984219291000832,Jew,@username #IsraeliTerrorism #Gazze #GazzedeKatliamVar #GazzaUnderAttack #TerroristIsrael https://t.co/0NvNGy09nw,#TerroristIsrael,Swearing; Insult; Defamation; Dehumanization
1658630241177281024,Armenian,@ibrahimdavulc8 Bu kemal neyin kafasını yaşıyor ermeni evladı bunu doğuran anasının suçu yok böyle bir evlat doğurduğu için ailesi bile buna oy vermedi,ermenı evladı,Swearing; Insult; Defamation; Dehumanization
1658249881956282112,Armenian,@kemalistharika Tescili Şerefsiz Namussuz Hırsız Arsız iktidarsız soğan erkeğinin Alevi değildir Ermeni Yahudi kırması olduğu ispatlı kot kafa laf kalabalığı yaparak Teröristlerle Soydaş olan onlara Serbestlik Özerklik sözü veren yavşağı savunman senin kanundaki bozukluğu sorgulamaya yeterlidir! https://t.co/DKicARiYCo,Ermeni Yahudi kırması,Exaggeration; Generalization; Attribution; Distortion
1568453545812271105,Greek,Yunan tohumu @username,Yunan tohumu,Swearing; Insult; Defamation; Dehumanization
1353048938450976770,Jew,#Katilİsrail https://t.co/A2uX5Uygxs,#Katilİsrail,Swearing; Insult; Defamation; Dehumanization
1658495555364856064,Armenian,@kilicdarogluk CHP'liler biraz mantık yürütün.@kilicdarogluk bir Ermeni.Karabulut olan soyadını Kılıçdaroğlu olarak değiştirdi.Annesinin adı Yemuş.Amcasının oğlu İbrahim Karabulut PKK'nın Hamburg sorumlusu.Bu adamın HDP ile işbirliği yapması tesadüf mü?PKK da Ermeni Asala'nın uzantısı.Basit.😁 https://t.co/i2qdoJTuOk,"bir Ermeni,PKK da Ermeni Asala'nın uzantısı","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1658603742030097920,Armenian,"@HasanTemiz22439 @VolkanOkcuoglu @Heysem58519391 Sonuç olarak şuan ki cb iktidardan düşsün diye ona oy verdiniz mi
Bu ülkenin polisine askerine kurşun sıkan devletine katil diyenler terörist yada sempatizanı değilmi ermeni soykırımı yapılmıştır diyenler iftiracı değil mi
aynı safta değilmisiniz","soykırımı yapılmıştır diyenler iftiracı,aynı safta değilmisiniz","Defamation,Exclusive/Discriminatory Discourse"
1658578319762158080,Armenian,"@KumandanRte Atamın ismini pis ağızlarına almasınlar.
Atatürk doğru milleti kurtarmış lakin ermeni itini piçini bırakmış. Keşke zamanında acımayıp temizleseymiş.","ermen itini piçini,Keşke zamanında acımayıp temizleseymiş.","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm"
1391994542832893958,Jew,"""Çocuklara işkence yapılan bu dünyayı sevmeyi, ölünceye kadar reddeceğim.""
#katilisrail https://t.co/C0zYXeySpK",#katilisrail,Swearing; Insult; Defamation; Dehumanization
1658101975290978048,Arab,Bu analiz için alim olmaya gerek yok. Gidişat bu yönde halk ta gelsin Arap şeyhleri iki kuruşa bizle Billur geçsin istiyorsa yapacak birşey yok https://t.co/EHTGogWez2,Arap şeyhleri iki kuruşa bizle Billur geçsin,Swearing; Insult; Defamation; Dehumanization
1568902416010969097,Greek,@username @username @username @username @username Yunan tohumu,Yunan tohumu,Swearing; Insult; Defamation; Dehumanization
1437308714063732736,Jew,@username Bahsettiğin o ülkeleri zaten itrail teslim almış durumda değilmi yani?,itrail,Swearing; Insult; Defamation; Dehumanization
1564702779179941888,Greek,"#ismailAvcı1969🌍
#haberciniz1969🌏
İşte,uzmanların görüşü:Yunanistan Türkiye ile savaş çıkarmanın peşinde! 
Türkiye'nin Küresel rol olarak gündemde olmasından rahaysız olan yunanlılar,Türkiye'nin S-400 lerini aktive edilmesini isteyip Avrupa ülkeleriyle zıtlaştırmaya çalışıyor!.","Yunanistan Türkiye ile savaş çıkarmanın peşinde,Türkiye'nin Küresel rol olarak gündemde olmasından rahaysız olan yunanlılar,Türkiye'nin S-400 lerini aktive edilmesini isteyip Avrupa ülkeleriyle zıtlaştırmaya çalışıyor","Threat of Enmity; War; Attack; Murder; or Harm,Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion"
1658407937902084096,Arab,"@Kvsrrrrrrrr @Stilll_011 @amenkardesim Bana göre de ülkede bi arap kültürünü alıp Türk kültürünü bırakmak yanlış, milletin Allahına kitabına küfredememek yanlış, çocuklara tecavüz eden ensardakileri idam etmemek yanlış. Sana göre ne olduğu zerre umrumda değil, Türk soyundan gelmeyen birisini önemsemem.","ülkede bi arap kültürünü alıp Türk kültürünü bırakmak yanlış,Türk soyundan gelmeyen birisini önemsemem","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1393037305431183362,Jew,"@username @username #KudüseBayramGelsin
#Katilİsrail
#Kahrolsunİsrail
#KahrolsunİsrailDestekcileri
*****************","#Katilİsrail,#Kahrolsunİsrail,#KahrolsunİsrailDestekcileri","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm"
1658595588848472064,Armenian,@34tolgaay @zekiersoy61 @RTErdogan Abicim Türk dediğiniz kişiler ya Yahudi yada Ermeni kırması çıkıyor . Hiç mi tarih köken bilmezsiniz!? Sinan Oğan Dağıstan Civarında kalan Hazarlara bağlı Tat YAHUDilerindendir. Yapmayın ya bu kadar,"Yahudi yada Ermeni kırması,Hiç mi tarih köken bilmezsiniz!?","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse"
