tweet_id,target,text,span,category
1658061958652755968,Arab,@muhendisyenn Hemde çok büyük bir sorun var. Büyük şeytan amerika yüzünden. Ortadoğuyu mahvetti. Şimdi sıra bizim ülkemize geldi. Yöneticiler de bu olayların gerilmesi için elinden geleni yapıyor. Ülke arap baharına dönmek üzere az kaldı. Araplara bu ülkeyi yok ettirecekler.,Ülke arap baharına dönmek üzere az kaldı. Araplara bu ülkeyi yok ettirecekler.,Swearing; Insult; Defamation; Dehumanization
1658543138355461888,Arab,En milliyetçi adamlardan biriyim ama asla milliyetçiliği sadece reklam malzemesi yapan kişilerin arkasına takılmadım. Mülteci ve arap sevicilerin her zaman karşısındayım. Yanında olanları milliyetçi sanmayın.,Mülteci ve arap sevicilerin her zaman karşısındayım.,Swearing; Insult; Defamation; Dehumanization
1658150712864387072,Arab,"@championoneday @secimtr2023 Kendi milletimden artık  midem bulanıyor,inancım kalmadı dempremde cebimdeki son kurusa kadar yardim ettim.kefesinsiz, toplu olarak gomulenlere bile uzulmediler,oylarıyla ülkeyi bitirdiler,bu secimi ülkeye yerleşen yabancılar kazandı, millette arap goy goyculari armağan olsun",millette arap goy goyculari armağan olsun,Swearing; Insult; Defamation; Dehumanization
1657978515021544960,Arab,@yunuspaksoy Kendimizi kandirnayalim 2002 sobrasi yonetimin hatalari sonucu irak suriye kuzeyi boydan boya barzanistan kuruldu. Suriye Arap birligibe girdi. Artik uzub sure suriye kuzeyibi turamayiz. Siginmaci nufysu arttikca zatenAntep kilisHatay bogelerimizde demografik kontrol kalmayacak.,Sığınmacı nufysu arttikca zatenAntep kilisHatay bogelerimizde demografik kontrol kalmayacak.,Exclusive/Discriminatory Discourse
1658461282993929984,Arab,@indoraptor14536 @cengizhan0641 @haskologlu alın başınıza çalın arapları ben arap tedavi etmeyeceğim teşekkürler,arapları ben arap tedavi etmeyeceğim teşekkürler,Swearing; Insult; Defamation; Dehumanization
1658411402275569920,Arab,"@hesaniko Biri keleş.kullaniyor...abd ve ab destekli
Diğeri işkence ve domuz bağı ile öldürüyor. Arap destekli",Arap destekli,Threat of Enmity; War; Attack; Murder; or Harm
1658102547947593984,Arab,"@smtrslnk @saw8419 @militerdoktrin1 hiç sanmıyorum, dün kayseride sivasta arap giysili herifler silah atıyordu sokaklarda erdoğan konuşmasından sonra",arap giysili herifler silah atıyordu sokaklarda,Exaggeration; Generalization; Attribution; Distortion
1657996924509715968,Arab,"Bu ülkeye demokrasi fazla! S.kmedikleri kimse kalmadı hala 49. Demek milletin fantezi dünyası geniş, özellikle Arap içerikli...","S.kmedikleri kimse kalmadı hala 49. Demek milletin fantezi dünyası geniş, özellikle Arap içerikli...",Swearing; Insult; Defamation; Dehumanization
1658092322624504064,Arab,"Cumhurbaşkanlığı 

Şerefim üstüne yemin ederim 

2 milyon oy atan arap var .
Adı ehmet mehmet recep olmuş. 
Bu zamana kadar bunun önüne geçmeliydi @herkesicinCHP 
@DrSinanOgan Bu ülke araplarin değil uyan Sinan Oğan uyan","2 milyon oy atan arap var . ,Bu ülke araplarin değil","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1658181039087312896,Arab,@1vatandas1071 @con_hanife @yirmiucderece Bakın ülkeyi yakacaklar gerçek dışı laflarınızla  siz kürtlerden korkma durun  böyle devam ozaman yeterki ülke Arap Suriyelilerin İran Afgan dolsun,Ülke Arap Suriyelilerin İran Afgan dolsun,Exclusive/Discriminatory Discourse
1658576707371127040,Arab,"Milliyetciyse de milliyetci, Turkcuyse de Turkcu. Bu adam bizim tek secenegimiz bu vatanin milli yanlarini koruyacak tek yolumuz. Bu topraklarda tek Turk cocugunu cirkef arap bedevilerine ezdirmeyecegiz. Kazanacagiz! https://t.co/1Id2Xy3EHM",çirkef arap bedevilerine ezdirmeyecegiz,Swearing; Insult; Defamation; Dehumanization
1658047361354981120,Arab,Eller kırılsın inşallah Atam kimlere emanet etmiş gençliği sahip çıkamadık arap bozuntularına karşı genede rabbim sen konuyu biliyorsun görüyorsun olanları daha nediyim,arap bozuntularına karşı,Swearing; Insult; Defamation; Dehumanization
1658409481452003072,Arab,@dman_kbr @AhmetYARM21 Şuan Erdoğan Arap oylarıyla bile kazanamadı . Erdoğan'ın şuan ayakta kalması ülkemizi satın alan Araplardir siz değilsiniz,ülkemizi satın alan Araplardır,Exclusive/Discriminatory Discourse
1658071342095187968,Arab,"Tayyipe oy veren akpliler hdp 
 demirtaş ve ittifakta akpli var diye kemal kılıçdaroğluna oy vermeyenler bu ülkenin arap çöplüğüne gelmişini istiyordur yaşayın bakalım o.c arap kardeşlerinizle beraber sayeniz de bu ülke şeriatlı sığınmacı çöplüğü olacak https://t.co/QincY4t6Og","yaşayın bakalım o.c arap kardeşlerinizle beraber,bu ülke şeriatlı sığınmacı çöplüğü olacak","Swearing; Insult; Defamation; Dehumanization,Exclusive/Discriminatory Discourse"
