Tweet_id,Target,Text,Error Label,Span,Span Label,Correct Span,Category,Category Label,Correct Categories,Target Label,Correct Targets,Notes
1657996401190620928,Alevi,@Trabzon85471200 @ekrem_imamoglu kim? Daha Tuncelili Alevi keMAL i yenemiyor . Bir Karadenizli olarak utandım Reis den.  Reisi 3 ayda 2 kere yenen İMAMOĞLU 1 numara Trabzonlii,,Daha Tuncelili Alevi keMAL i yenemiyor,Correct,,Swearing; Insult; Defamation; Dehumanization,Incomplete,,,,"Span doğru, kategoride simgeleştirme eksik, ama yazdığı kategori de doğru"
1658009740398543104,Alevi,"@AsyaBalluca Bir alevi olarak söylüyorum Asil dalyaraklar alevilere kimsenin oy vermicegini bildiği halde Kılıçdaroğlu huloglugu yapan alevilerdir amk !
Artik cuvaldizi kendinizr batirin!",,Asil dalyaraklar alevilere kimsenin oy vermicegini bildiği halde Kılıçdaroğlu huloglugu yapan alevilerdir amk,Correct,,Swearing; Insult; Defamation; Dehumanization,Correct,,Wrong,,Span ve kategori doğru (hedef grup: Aleviler değil belirli görüş/statü/mesleki pozisyon)
1658023853698736128,Alevi,@oceanids__ @alynzn @ananbenissever Kitle muhafazakar milliyetçi ülkücü sen PKK destekçileri ile bir olup üstüne inança saygısızlık edip Alevi lider çıkaracaksın Sünni muhafazakar insanlar sana oy atacak tanıyın Anadolu’yu artık tanıyım bu insanları ve saygı duyum yoksa çok daha kaybedersiniz,,sen PKK destekçileri ile bir olup üstüne inança saygısızlık edip Alevi lider çıkaracaksın,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,,,Span ve kategori doğru
1658053150589239040,Alevi,@feyzaltun Halamı eridiğinizi görün artık ana muhalefet bile değilsiniz Türk milliyetçileri oyunu %26 ya taşıdı chp hdple açık ve net içiçe geçmiş kapanması gereken terör partisidir chpdeki bölücü ayrılıkçı alevi ve kürtler olduğu sürece kaybedecektir,,chp hdple açık ve net içiçe geçmiş kapanması gereken terör partisidir chpdeki bölücü ayrılıkçı alevi ve kürtler olduğu sürece kaybedecektir,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,Incomplete,Kurdish,Span ve kategori doğru (hedef grup: Alevilere ek olarak Kürtler de var)
1658113233851497984,Alevi,"@umaydoktrin Gerçek bir cumhuriyetçi mi? Atatürk'ün takipçisi mi? Yoksa Türkiye'yi bölmek ve zayıflatmak isteyen İran'a bağlı bir Alevi mi?
Laik dini bir işaret takıyor mu? https://t.co/ikgvwrWjqs",,Türkiye'yi bölmek ve zayıflatmak isteyen İran'a bağlı bir Alevi mi,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,,,Span ve kategori doğru
1658163300436259072,Alevi,@kemalozturk2020 İyi akşamlar kemal bey instegram hesabınızada yazdım ama ben sinan oğana oyumu verdim ve ikinci turda oy kullanmayı düşünmüyorum ve sinan bey bize şurayı desdekliyelim dese dahi onu dinlemeyiz heleki alevi olan lgbd ci olan demirtaşcı yani pkk olan kılıçtaroğunu kesinlikle,,heleki alevi olan lgbd ci olan demirtaşcı yani pkk olan kılıçtaroğunu kesinlikle,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,Incomplete,"LGBTI+,Kurdish",Span ve kategori doğru (hedef grup: Alevilere ek olarak LGBTİ+lar ve Kürtler de var)
1658175227983977984,Alevi,@basgancokfevri Ciddi şekilde alevi lobisi var. Ve bunların büyük bir kısmı dersimci lobi. Bunların alayını tasfiye edip yerine ulusalcıları alacaksın.,,Ciddi şekilde alevi lobisi var. Ve bunların büyük bir kısmı dersimci lobi. Bunların alayını tasfiye edip,Correct,,Exaggeration; Generalization; Attribution; Distortion,Correct,,,,Span ve kategori doğru
1658206215023762944,Alevi,@umaydoktrin @kilicdarogluk Siz de şunu anlamıyorsunuz kardeşim adam Türk değil ki miliyetci olsun. Alevi maskeli ermeni bu adam. CHP'yi ele geçirmişler. Buna oy veren kamalistler şaşırmış akıl tutulması yaşıyorlar,,Siz de şunu anlamıyorsunuz kardeşim adam Türk değil ki miliyetci olsun. Alevi maskeli ermeni bu adam.,Correct,,Swearing; Insult; Defamation; Dehumanization,Wrong,,Incomplete,Armenian,"Span doğru, kategori yanlış (hedef grup: Alevilere ek olarak Ermeniler de var)"
1658381906323418880,Alevi,"@OkanBaskan10 @aliaktas7 Valla gardas alevi koylerindeki sonuclara bakiyorumda,
Cemevini acan akparti
Suyu elektrigi bedava yapan akparti
Devlette baskanlik veren akparti
Zulum gordukleri chp
Oylar chp ye..
Ben bundan mezhepcilik yapiyorlar anlarim..
O halde mezhepciyim bir aleviye asla oy vermem.
NOKTA.",,mezhepciyim bir aleviye asla oy vermem,Correct,,Exclusive/Discriminatory Discourse,Correct,,,,Span ve kategori doğru
1658423605900747008,Alevi,@sevdaturkusev @EmniyetGM şeref.sizlerin gerçek yüzü bu şerefsiz alevi türkiyeye geldiği zaman emniyetten sonra bende ağırlarım bunu !,,şerefsiz alevi türkiyeye geldiği zaman emniyetten sonra bende ağırlarım bunu,Correct,,Swearing; Insult; Defamation; Dehumanization,Incomplete,Threat of Enmity; War; Attack; Murder; or Harm,,,"Span doğru, kategori de doğru ama ek olarak saldırı tehdidi de var"
1658531931753968128,Alevi,@Siyahisolkanat Alevi dedesi Kemal Yalandaroğlu yalan söyleyecek değil ya! Adam kazandım diyor YSK kim heblubehajslal https://t.co/eVBJJGdxBy,,Alevi dedesi Kemal Yalandaroğlu,Correct,,Swearing; Insult; Defamation; Dehumanization,Correct,,,,Span ve kategori doğru
1658055286077136896,Arab,@_erdeem_ Türklerin çoğu ülkede zenci Arap çocuğu doğuracak ülke zenciler araplar ülkesi olacak Anadoluda Türk diye birsey kalmayacak 9 çocuğa karşı iki çocuk yapılıyor birde evlilikler oluyor Türkler zenci Arap çocuğu doğuruyor akp li Süleyman soyluda bunu istiyor pkk hdp 30 yıldır var,,"zenci Arap çocuğu doğuracak,ülke zenciler araplar ülkesi olacak,Türk diye birsey kalmayacak,Türkler zenci Arap çocuğu doğuruyor",Correct,,"Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization",Correct,,,,Span ve kategori doğru
1658468559729889024,Arab,"@DrSinanOgan Bırakmayın, ülkemde Türk kadınlarına Türk insanına bakarak tecavüz taciz eden Arap zihniyetini istemiyorum ,sokak ortasında Türk kadınına bakarak mastürbasyon yapan Arap zihniyeti istemiyorum, ümmet ümmet diyerek Türk kimliğini ayaklar altına alanları sevindirmenizi istemiyorum⬇️",,"Arap zihniyetini istemiyorum,tecavüz taciz eden Arap,mastürbasyon yapan Arap,Türk kimliğini ayaklar altına alanları",Correct,,"Exclusive/Discriminatory Discourse,Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization,Swearing; Insult; Defamation; Dehumanization",Incomplete,,,,"Span doğru, kategoriler kısmen doğru"
