Tweet_id,Target,Text,Span,tokens,tags
1658213354672988162,Target: Immigrant-Refugee,انت افجر واكذب دحباشي الحضارم الجنوبيين كانو ف السعودية ويلقون كل إحترام وترحيب خلينا نرجع لموضوعنا كيف تحب ترحيل أبناء جلدتك من بلادنا الي بلادكم العربيه اليمنيه بالباص بالشيول ام بطريقة سعادة اللواء شلال علي شايع,"افجر واكذب دحباشي,ترحيل أبناء جلدتك من بلادنا,بالباص بالشيول ام بطريقة سعادة اللواء شلال علي شايع","[""\u0627\u0646\u062a"", ""\u0627\u0641\u062c\u0631"", ""\u0648\u0627\u0643\u0630\u0628"", ""\u062f\u062d\u0628\u0627\u0634\u064a"", ""\u0627\u0644\u062d\u0636\u0627\u0631\u0645"", ""\u0627\u0644\u062c\u0646\u0648\u0628\u064a\u064a\u0646"", ""\u0643\u0627\u0646\u0648"", ""\u0641"", ""\u0627\u0644\u0633\u0639\u0648\u062f\u064a\u0629"", ""\u0648\u064a\u0644\u0642\u0648\u0646"", ""\u0643\u0644"", ""\u0625\u062d\u062a\u0631\u0627\u0645"", ""\u0648\u062a\u0631\u062d\u064a\u0628"", ""\u062e\u0644\u064a\u0646\u0627"", ""\u0646\u0631\u062c\u0639"", ""\u0644\u0645\u0648\u0636\u0648\u0639\u0646\u0627"", ""\u0643\u064a\u0641"", ""\u062a\u062d\u0628"", ""\u062a\u0631\u062d\u064a\u0644"", ""\u0623\u0628\u0646\u0627\u0621"", ""\u062c\u0644\u062f\u062a\u0643"", ""\u0645\u0646"", ""\u0628\u0644\u0627\u062f\u0646\u0627"", ""\u0627\u0644\u064a"", ""\u0628\u0644\u0627\u062f\u0643\u0645"", ""\u0627\u0644\u0639\u0631\u0628\u064a\u0647"", ""\u0627\u0644\u064a\u0645\u0646\u064a\u0647"", ""\u0628\u0627\u0644\u0628\u0627\u0635"", ""\u0628\u0627\u0644\u0634\u064a\u0648\u0644"", ""\u0627\u0645"", ""\u0628\u0637\u0631\u064a\u0642\u0629"", ""\u0633\u0639\u0627\u062f\u0629"", ""\u0627\u0644\u0644\u0648\u0627\u0621"", ""\u0634\u0644\u0627\u0644"", ""\u0639\u0644\u064a"", ""\u0634\u0627\u064a\u0639""]","[0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
1659553914272772097,Target: Immigrant-Refugee,احد، بترجم وش تقول هالخنزيرة الله يعجل ب ترحيل وطردكم مع مجنسبيكم,"هالخنزيرة,الله يعجل ب ترحيل وطردكم","[""\u0627\u062d\u062f"", ""\u0628\u062a\u0631\u062c\u0645"", ""\u0648\u0634"", ""\u062a\u0642\u0648\u0644"", ""\u0647\u0627\u0644\u062e\u0646\u0632\u064a\u0631\u0629"", ""\u0627\u0644\u0644\u0647"", ""\u064a\u0639\u062c\u0644"", ""\u0628"", ""\u062a\u0631\u062d\u064a\u0644"", ""\u0648\u0637\u0631\u062f\u0643\u0645"", ""\u0645\u0639"", ""\u0645\u062c\u0646\u0633\u0628\u064a\u0643\u0645""]","[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 0, 0]"
1659571269623316480,Target: Immigrant-Refugee,مرحبا عبيد اردوغان باقي ترحيل كل سوري ببلدنا له,"عبيد اردوغان,باقي ترحيل كل سوري ببلدنا له","[""\u0645\u0631\u062d\u0628\u0627"", ""\u0639\u0628\u064a\u062f"", ""\u0627\u0631\u062f\u0648\u063a\u0627\u0646"", ""\u0628\u0627\u0642\u064a"", ""\u062a\u0631\u062d\u064a\u0644"", ""\u0643\u0644"", ""\u0633\u0648\u0631\u064a"", ""\u0628\u0628\u0644\u062f\u0646\u0627"", ""\u0644\u0647""]","[0, 1, 2, 1, 2, 2, 2, 2, 2]"
1658555124682244098,Target: Immigrant-Refugee,المصريين يعملو استفتاء كبير ضد قانون التجنيس الجديد و ترحيل اللاجئيين  والله و نوصله و نعرفهم ان معدش مرحب بيهم,"ترحيل اللاجئيين,معدش مرحب بيهم","[""\u0627\u0644\u0645\u0635\u0631\u064a\u064a\u0646"", ""\u064a\u0639\u0645\u0644\u0648"", ""\u0627\u0633\u062a\u0641\u062a\u0627\u0621"", ""\u0643\u0628\u064a\u0631"", ""\u0636\u062f"", ""\u0642\u0627\u0646\u0648\u0646"", ""\u0627\u0644\u062a\u062c\u0646\u064a\u0633"", ""\u0627\u0644\u062c\u062f\u064a\u062f"", ""\u0648"", ""\u062a\u0631\u062d\u064a\u0644"", ""\u0627\u0644\u0644\u0627\u062c\u0626\u064a\u064a\u0646"", ""\u0648\u0627\u0644\u0644\u0647"", ""\u0648"", ""\u0646\u0648\u0635\u0644\u0647"", ""\u0648"", ""\u0646\u0639\u0631\u0641\u0647\u0645"", ""\u0627\u0646"", ""\u0645\u0639\u062f\u0634"", ""\u0645\u0631\u062d\u0628"", ""\u0628\u064a\u0647\u0645""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 2]"
1659724146316566528,Target: Immigrant-Refugee,مهم رايحين صاحي انت الشركات اللي يدعمونها ورواتبهم ودراستهم كلها هنا لكن نقول ان شاء الله ترحيل اجباري هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,ان شاء الله ترحيل اجباري,"[""\u0645\u0647\u0645"", ""\u0631\u0627\u064a\u062d\u064a\u0646"", ""\u0635\u0627\u062d\u064a"", ""\u0627\u0646\u062a"", ""\u0627\u0644\u0634\u0631\u0643\u0627\u062a"", ""\u0627\u0644\u0644\u064a"", ""\u064a\u062f\u0639\u0645\u0648\u0646\u0647\u0627"", ""\u0648\u0631\u0648\u0627\u062a\u0628\u0647\u0645"", ""\u0648\u062f\u0631\u0627\u0633\u062a\u0647\u0645"", ""\u0643\u0644\u0647\u0627"", ""\u0647\u0646\u0627"", ""\u0644\u0643\u0646"", ""\u0646\u0642\u0648\u0644"", ""\u0627\u0646"", ""\u0634\u0627\u0621"", ""\u0627\u0644\u0644\u0647"", ""\u062a\u0631\u062d\u064a\u0644"", ""\u0627\u062c\u0628\u0627\u0631\u064a"", ""\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647\u0647""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]"
1659592552067092482,Target: Immigrant-Refugee,"#مشكاتي_تحبك
#السيارات_المستعملة
#ترحيل_المغربيات_مطلب
#ترحيل_المغربيات_مطلب2
ويجيك حمار يقولك تزوج مخربيه","#ترحيل_المغربيات_مطلب,#ترحيل_المغربيات_مطلب2,ويجيك حمار يقولك تزوج مخربيه","[""\u0645\u0634\u0643\u0627\u062a\u064a_\u062a\u062d\u0628\u0643"", ""\u0627\u0644\u0633\u064a\u0627\u0631\u0627\u062a_\u0627\u0644\u0645\u0633\u062a\u0639\u0645\u0644\u0629"", ""\u062a\u0631\u062d\u064a\u0644_\u0627\u0644\u0645\u063a\u0631\u0628\u064a\u0627\u062a_\u0645\u0637\u0644\u0628"", ""\u062a\u0631\u062d\u064a\u0644_\u0627\u0644\u0645\u063a\u0631\u0628\u064a\u0627\u062a_\u0645\u0637\u0644\u06282"", ""\u0648\u064a\u062c\u064a\u0643"", ""\u062d\u0645\u0627\u0631"", ""\u064a\u0642\u0648\u0644\u0643"", ""\u062a\u0632\u0648\u062c"", ""\u0645\u062e\u0631\u0628\u064a\u0647""]","[0, 0, 1, 1, 1, 2, 2, 2, 2]"
1659615433111269376,Target: Immigrant-Refugee,ومين قال النساء انا اقو للعموم ترحيل أمرك عجيب,ترحيل,"[""\u0648\u0645\u064a\u0646"", ""\u0642\u0627\u0644"", ""\u0627\u0644\u0646\u0633\u0627\u0621"", ""\u0627\u0646\u0627"", ""\u0627\u0642\u0648"", ""\u0644\u0644\u0639\u0645\u0648\u0645"", ""\u062a\u0631\u062d\u064a\u0644"", ""\u0623\u0645\u0631\u0643"", ""\u0639\u062c\u064a\u0628""]","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
1659128707158536198,Target: Immigrant-Refugee,وانت حضرتك فاكر انهم هيرجعوا بسهوله ولا بمزاجهم مستحيل مش هايرجعوا الا ترحيل وبالقوة الجبريه,مستحيل مش هايرجعوا الا ترحيل وبالقوة الجبريه,"[""\u0648\u0627\u0646\u062a"", ""\u062d\u0636\u0631\u062a\u0643"", ""\u0641\u0627\u0643\u0631"", ""\u0627\u0646\u0647\u0645"", ""\u0647\u064a\u0631\u062c\u0639\u0648\u0627"", ""\u0628\u0633\u0647\u0648\u0644\u0647"", ""\u0648\u0644\u0627"", ""\u0628\u0645\u0632\u0627\u062c\u0647\u0645"", ""\u0645\u0633\u062a\u062d\u064a\u0644"", ""\u0645\u0634"", ""\u0647\u0627\u064a\u0631\u062c\u0639\u0648\u0627"", ""\u0627\u0644\u0627"", ""\u062a\u0631\u062d\u064a\u0644"", ""\u0648\u0628\u0627\u0644\u0642\u0648\u0629"", ""\u0627\u0644\u062c\u0628\u0631\u064a\u0647""]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2]"
1660031044723134464,Target: Immigrant-Refugee,"وبعد هالصوره اثبات تسويقهم صار فاشل انكشفو المخربيات
#ترحيل_المغربيات_مطلب 
#ترحيل_المغربيات_مطلب2 
#متنكرين_كالسعوديين","المخربيات,#ترحيل_المغربيات_مطلب,#ترحيل_المغربيات_مطلب2,#متنكرين_كالسعوديين","[""\u0648\u0628\u0639\u062f"", ""\u0647\u0627\u0644\u0635\u0648\u0631\u0647"", ""\u0627\u062b\u0628\u0627\u062a"", ""\u062a\u0633\u0648\u064a\u0642\u0647\u0645"", ""\u0635\u0627\u0631"", ""\u0641\u0627\u0634\u0644"", ""\u0627\u0646\u0643\u0634\u0641\u0648"", ""\u0627\u0644\u0645\u062e\u0631\u0628\u064a\u0627\u062a"", ""\u062a\u0631\u062d\u064a\u0644_\u0627\u0644\u0645\u063a\u0631\u0628\u064a\u0627\u062a_\u0645\u0637\u0644\u0628"", ""\u062a\u0631\u062d\u064a\u0644_\u0627\u0644\u0645\u063a\u0631\u0628\u064a\u0627\u062a_\u0645\u0637\u0644\u06282"", ""\u0645\u062a\u0646\u0643\u0631\u064a\u0646_\u0643\u0627\u0644\u0633\u0639\u0648\u062f\u064a\u064a\u0646""]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
1659804089193058305,Target: Immigrant-Refugee,"اللي اطلق عليهم اللقب 
بعض ذكور الخليج 

شايفين سواتهم بهالدول

خصوصا مع بعض الجنسيات الخليجيه يركضن وراءهن 

اللي يعيش بالخليج وشايف مو الي برا مو داري 

ريحة بقالتكم فاحت 

تحملوا 
#ترحيل_المغربيات_مطلب 
#ترحيل_المغربيات_مطلب_امني","ريحة بقالتكم فاحت,#ترحيل_المغربيات_مطلب,#ترحيل_المغربيات_مطلب_امني","[""\u0627\u0644\u0644\u064a"", ""\u0627\u0637\u0644\u0642"", ""\u0639\u0644\u064a\u0647\u0645"", ""\u0627\u0644\u0644\u0642\u0628"", ""\u0628\u0639\u0636"", ""\u0630\u0643\u0648\u0631"", ""\u0627\u0644\u062e\u0644\u064a\u062c"", ""\u0634\u0627\u064a\u0641\u064a\u0646"", ""\u0633\u0648\u0627\u062a\u0647\u0645"", ""\u0628\u0647\u0627\u0644\u062f\u0648\u0644"", ""\u062e\u0635\u0648\u0635\u0627"", ""\u0645\u0639"", ""\u0628\u0639\u0636"", ""\u0627\u0644\u062c\u0646\u0633\u064a\u0627\u062a"", ""\u0627\u0644\u062e\u0644\u064a\u062c\u064a\u0647"", ""\u064a\u0631\u0643\u0636\u0646"", ""\u0648\u0631\u0627\u0621\u0647\u0646"", ""\u0627\u0644\u0644\u064a"", ""\u064a\u0639\u064a\u0634"", ""\u0628\u0627\u0644\u062e\u0644\u064a\u062c"", ""\u0648\u0634\u0627\u064a\u0641"", ""\u0645\u0648"", ""\u0627\u0644\u064a"", ""\u0628\u0631\u0627"", ""\u0645\u0648"", ""\u062f\u0627\u0631\u064a"", ""\u0631\u064a\u062d\u0629"", ""\u0628\u0642\u0627\u0644\u062a\u0643\u0645"", ""\u0641\u0627\u062d\u062a"", ""\u062a\u062d\u0645\u0644\u0648\u0627"", ""\u062a\u0631\u062d\u064a\u0644_\u0627\u0644\u0645\u063a\u0631\u0628\u064a\u0627\u062a_\u0645\u0637\u0644\u0628"", ""\u062a\u0631\u062d\u064a\u0644_\u0627\u0644\u0645\u063a\u0631\u0628\u064a\u0627\u062a_\u0645\u0637\u0644\u0628_\u0627\u0645\u0646\u064a""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1]"
