Tweet_id,Target,Text,Span,tokens,tags
1658490375970131968,Hedef: Ermeni Karşıtı,"Öğrenciler, sözde Ermeni soykırımı yalanını belgelerle anlattı https://t.co/0yCkjdWOwI https://t.co/q6YT4YsUBT",sözde Ermeni soykırımı yalanını,"[""\u00d6\u011frenciler"", ""s\u00f6zde"", ""Ermeni"", ""soyk\u0131r\u0131m\u0131"", ""yalan\u0131n\u0131"", ""belgelerle"", ""anlatt\u0131"", ""https"", ""t"", ""co"", ""0yCkjdWOwI"", ""https"", ""t"", ""co"", ""q6YT4YsUBT""]","[0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1562367609349324800,Hedef: Yunan Karşıtı,"@eurodolar1980x Babası ve kızı çok meraklılar asıl niyetleride bir türlü öğrenemedikleri S-400'ün nerede olduğuydu.
Diğer seçenek ABD B-52 lerine koruma görevi yapan F-16'lar taciz edildi yani B-52 lere tehdit unsuru olarak değerlendirip abd'nin kızına (yunanistan) çakabilirdik🤭, HİSAR ile.😉",abd'nin kızına (yunanistan) çakabilirdik,"[""eurodolar1980x"", ""Babas\u0131"", ""ve"", ""k\u0131z\u0131"", ""\u00e7ok"", ""merakl\u0131lar"", ""as\u0131l"", ""niyetleride"", ""bir"", ""t\u00fcrl\u00fc"", ""\u00f6\u011frenemedikleri"", ""S"", ""400"", ""\u00fcn"", ""nerede"", ""oldu\u011fuydu"", ""Di\u011fer"", ""se\u00e7enek"", ""ABD"", ""B"", ""52"", ""lerine"", ""koruma"", ""g\u00f6revi"", ""yapan"", ""F"", ""16"", ""lar"", ""taciz"", ""edildi"", ""yani"", ""B"", ""52"", ""lere"", ""tehdit"", ""unsuru"", ""olarak"", ""de\u011ferlendirip"", ""abd"", ""nin"", ""k\u0131z\u0131na"", ""yunanistan"", ""\u00e7akabilirdik"", ""H\u0130SAR"", ""ile""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0]"
1392716856478375940,Hedef: Yahudi Karşıtı,"Amerikalı dingilbavullarını alıp terk etsindemiş Filistin için bence, yahudiler bavullarını da almadan biran önce kaçsınlar.çocuk katilleri.#Katilİsrail","yahudiler bavullarını da almadan biran önce kaçsınlar,çocuk katilleri","[""Amerikal\u0131"", ""dingilbavullar\u0131n\u0131"", ""al\u0131p"", ""terk"", ""etsindemi\u015f"", ""Filistin"", ""i\u00e7in"", ""bence"", ""yahudiler"", ""bavullar\u0131n\u0131"", ""da"", ""almadan"", ""biran"", ""\u00f6nce"", ""ka\u00e7s\u0131nlar"", ""\u00e7ocuk"", ""katilleri"", ""Katil\u0130srail""]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 1, 2, 0]"
1390362890083909634,Hedef: Yahudi Karşıtı,"@username #İsrailKaşınma 😠
#MescidiAksaKırmızıÇizğimizdir
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷",#İsrailKaşınma,"[""username"", ""\u0130srailKa\u015f\u0131nma"", ""MescidiAksaK\u0131rm\u0131z\u0131\u00c7iz\u011fimizdir""]","[0, 1, 0]"
1471198206449131520,Hedef: Yahudi Karşıtı,@leon_mrt Sen dur ayı….itrail,itrail,"[""leon_mrt"", ""Sen"", ""dur"", ""ay\u0131"", ""itrail""]","[0, 0, 0, 0, 1]"
1658300534653166080,Hedef: LGBTI+ Karşıtı,"@sgokbakar Nasihat çeken kim?
erkek arkadaşları ile sapkın ilişkileri olan ahlaksız.
utanman olsa susar kendini unutturursun rezil.
beğenmiyorsan defol git hollandaya.","erkek arkadaşları ile sapkın ilişkileri olan ahlaksız,rezil,beğenmiyorsan defol git hollandaya","[""sgokbakar"", ""Nasihat"", ""\u00e7eken"", ""kim"", ""erkek"", ""arkada\u015flar\u0131"", ""ile"", ""sapk\u0131n"", ""ili\u015fkileri"", ""olan"", ""ahlaks\u0131z"", ""utanman"", ""olsa"", ""susar"", ""kendini"", ""unutturursun"", ""rezil"", ""be\u011fenmiyorsan"", ""defol"", ""git"", ""hollandaya""]","[0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]"
1658328171572231936,Hedef: Kürt Karşıtı,"@HMT_Hamit_ anlamadığım neyin empatisini yapalım; nefes alan her Kürt teröristtir, ameriga bizi bölecek, alamanya açlıktan geberiyor, depremi dış güçler yaptı vs vs mi diyelim! kapasiteleri bu, napalim onlarla oturup bu saçmalıkları mi tartışalım?","nefes alan her Kürt teröristtir,kapasiteleri bu","[""HMT_Hamit_"", ""anlamad\u0131\u011f\u0131m"", ""neyin"", ""empatisini"", ""yapal\u0131m"", ""nefes"", ""alan"", ""her"", ""K\u00fcrt"", ""ter\u00f6risttir"", ""ameriga"", ""bizi"", ""b\u00f6lecek"", ""alamanya"", ""a\u00e7l\u0131ktan"", ""geberiyor"", ""depremi"", ""d\u0131\u015f"", ""g\u00fc\u00e7ler"", ""yapt\u0131"", ""vs"", ""vs"", ""mi"", ""diyelim"", ""kapasiteleri"", ""bu"", ""napalim"", ""onlarla"", ""oturup"", ""bu"", ""sa\u00e7mal\u0131klar\u0131"", ""mi"", ""tart\u0131\u015fal\u0131m""]","[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]"
1658553129032359936,Hedef: Ermeni Karşıtı,@Selin11475998 Cok sevdiginiz pkk bombaladi birgjn evine bombayi kor ..malum Atatürk un itleri diyo size ..dersim katliamini soracagiz diyo sirri sakik...size .. ermeni soykirimini taniyacaksiniz diyo size canan ablaniz .busekilde devam edin.abd sizi bekliyor,ermeni soykirimini taniyacaksiniz diyo size canan ablaniz,"[""Selin11475998"", ""Cok"", ""sevdiginiz"", ""pkk"", ""bombaladi"", ""birgjn"", ""evine"", ""bombayi"", ""kor"", ""malum"", ""Atat\u00fcrk"", ""un"", ""itleri"", ""diyo"", ""size"", ""dersim"", ""katliamini"", ""soracagiz"", ""diyo"", ""sirri"", ""sakik"", ""size"", ""ermeni"", ""soykirimini"", ""taniyacaksiniz"", ""diyo"", ""size"", ""canan"", ""ablaniz"", ""busekilde"", ""devam"", ""edin"", ""abd"", ""sizi"", ""bekliyor""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
1658338971187905024,Hedef: Alevi Karşıtı,@baltac64497366 Haklıydın ve artık gidiş Cumhurbaşkanı seçimi değil maalesef Alevi mi? _ Sünni mi? Seçimi olacak ki..  SUNNİLER BU ULKEDE HEP KAZANMİSTİR. YANİ ERDOGAN 2028 🤔,SUNNİLER BU ULKEDE HEP KAZANMİSTİR.,"[""baltac64497366"", ""Hakl\u0131yd\u0131n"", ""ve"", ""art\u0131k"", ""gidi\u015f"", ""Cumhurba\u015fkan\u0131"", ""se\u00e7imi"", ""de\u011fil"", ""maalesef"", ""Alevi"", ""mi"", ""_"", ""S\u00fcnni"", ""mi"", ""Se\u00e7imi"", ""olacak"", ""ki"", ""SUNN\u0130LER"", ""BU"", ""ULKEDE"", ""HEP"", ""KAZANM\u0130ST\u0130R"", ""YAN\u0130"", ""ERDOGAN"", ""2028""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0]"
1535048813177880577,Hedef: Yunan Karşıtı,@username Yunanistan'ın ne kadar borcu var? 1 trilyon dolar? 😂 Umarım savaş başlar ve Türk ordusunun acı gücünü dedelerinizin izmirde tattığı gibi sizde tadarsınız!!! Bu kadar klavye konuşması yeterli. Umarım savaş meydanında karşılaşırız yorgo 😂,"Umarım savaş başlar,Türk ordusunun acı gücünü dedelerinizin izmirde tattığı gibi sizde tadarsınız,Umarım savaş meydanında karşılaşırız yorgo","[""username"", ""Yunanistan"", ""\u0131n"", ""ne"", ""kadar"", ""borcu"", ""var"", ""1"", ""trilyon"", ""dolar"", ""Umar\u0131m"", ""sava\u015f"", ""ba\u015flar"", ""ve"", ""T\u00fcrk"", ""ordusunun"", ""ac\u0131"", ""g\u00fcc\u00fcn\u00fc"", ""dedelerinizin"", ""izmirde"", ""tatt\u0131\u011f\u0131"", ""gibi"", ""sizde"", ""tadars\u0131n\u0131z"", ""Bu"", ""kadar"", ""klavye"", ""konu\u015fmas\u0131"", ""yeterli"", ""Umar\u0131m"", ""sava\u015f"", ""meydan\u0131nda"", ""kar\u015f\u0131la\u015f\u0131r\u0131z"", ""yorgo""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2]"
