Tweet_id,Target,Text,Span,tokens,tags
1537725072860921856,Hedef: Yunan Karşıtı,@umitozdag bak buda sesli istila 😀ülkeyi Yunanistan ve Bulgaristan'lilar işgal etmiş hemde davul zurna ile ... ırkçıların gür sesi https://t.co/GARUtm1J4U,Yunanistan ve Bulgaristan'lilar işgal etmiş,"[""umitozdag"", ""bak"", ""buda"", ""sesli"", ""istila"", ""\u00fclkeyi"", ""Yunanistan"", ""ve"", ""Bulgaristan"", ""lilar"", ""i\u015fgal"", ""etmi\u015f"", ""hemde"", ""davul"", ""zurna"", ""ile"", ""\u0131rk\u00e7\u0131lar\u0131n"", ""g\u00fcr"", ""sesi"", ""https"", ""t"", ""co"", ""GARUtm1J4U""]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1394765899303985155,Hedef: Yahudi Karşıtı,#genocideingaza #GazaUnderAttackk #KuduseSahipCik #Kudusİslamındır #freequds #FreePalaestine #freegazze https://t.co/S7mCaAHD5p,,"[""genocideingaza"", ""GazaUnderAttackk"", ""KuduseSahipCik"", ""Kudus\u0130slam\u0131nd\u0131r"", ""freequds"", ""FreePalaestine"", ""freegazze"", ""https"", ""t"", ""co"", ""S7mCaAHD5p""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1392221598409707522,Hedef: Yahudi Karşıtı,"@NalanNt @AKPRT06__ @RTErdogan #KudüsünUmuduErdoğan
#Katilİsrail
#Kahrolsunİsrail
#KahrolsunİsrailDestekcileri #MescidiAksaBaskını #Kudusİslamındır 
#AksayaBaskınVar https://t.co/WZFTZspgfG","#Katilİsrail,#Kahrolsunİsrail,#KahrolsunİsrailDestekcileri,#Kudusİslamındır","[""NalanNt"", ""AKPRT06__"", ""RTErdogan"", ""Kud\u00fcs\u00fcnUmuduErdo\u011fan"", ""Katil\u0130srail"", ""Kahrolsun\u0130srail"", ""Kahrolsun\u0130srailDestekcileri"", ""MescidiAksaBask\u0131n\u0131"", ""Kudus\u0130slam\u0131nd\u0131r"", ""AksayaBask\u0131nVar"", ""https"", ""t"", ""co"", ""WZFTZspgfG""]","[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
1534994430155014183,Hedef: Yunan Karşıtı,"Türkiye: Gündem

Yunanistan savaş açacak bir hamlede bulunacak yakın bir tarih Yunanistan ege'deki deniz haklarını 6 mil'den 12 mil'e çıkaracak bunu için bir tasarı ve parlementolarında oylama'ya sunacaklar.

Hadi len yapın'da sizi dümdüz edelim adamsanız yapın",sizi dümdüz edelim adamsanız yapın,"[""T\u00fcrkiye"", ""G\u00fcndem"", ""Yunanistan"", ""sava\u015f"", ""a\u00e7acak"", ""bir"", ""hamlede"", ""bulunacak"", ""yak\u0131n"", ""bir"", ""tarih"", ""Yunanistan"", ""ege"", ""deki"", ""deniz"", ""haklar\u0131n\u0131"", ""6"", ""mil"", ""den"", ""12"", ""mil"", ""e"", ""\u00e7\u0131karacak"", ""bunu"", ""i\u00e7in"", ""bir"", ""tasar\u0131"", ""ve"", ""parlementolar\u0131nda"", ""oylama"", ""ya"", ""sunacaklar"", ""Hadi"", ""len"", ""yap\u0131n"", ""da"", ""sizi"", ""d\u00fcmd\u00fcz"", ""edelim"", ""adamsan\u0131z"", ""yap\u0131n""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2]"
1536804505899175936,Hedef: Yunan Karşıtı,"Milli Savunma Bakanı Hulusi Akar:

""(Yunan Parlamentere) Kıbrıs'ın kuzeyine 'işgal' derseniz zaten siz başından kavga etmek istiyorsunuz demektir.""

📍 Mesajımız net https://t.co/khNHiFBvfn",kavga etmek istiyorsunuz,"[""Milli"", ""Savunma"", ""Bakan\u0131"", ""Hulusi"", ""Akar"", ""Yunan"", ""Parlamentere"", ""K\u0131br\u0131s"", ""\u0131n"", ""kuzeyine"", ""i\u015fgal"", ""derseniz"", ""zaten"", ""siz"", ""ba\u015f\u0131ndan"", ""kavga"", ""etmek"", ""istiyorsunuz"", ""demektir"", ""Mesaj\u0131m\u0131z"", ""net"", ""https"", ""t"", ""co"", ""khNHiFBvfn""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
1658346872442895872,Hedef: Ermeni Karşıtı,"@alimahir Ermeni kemal seloyu apoyu hapisteki pkk lıları bırakacaksın pkk yeniden dirilecek sayende karakol basacak bebek, polis, asker, öğretmen, işçi şehit edecek. Bir yere gitme","Ermeni,kemal seloyu apoyu hapisteki pkk lıları bırakacaksın pkk yeniden dirilecek sayende karakol basacak bebek, polis, asker, öğretmen","[""alimahir"", ""Ermeni"", ""kemal"", ""seloyu"", ""apoyu"", ""hapisteki"", ""pkk"", ""l\u0131lar\u0131"", ""b\u0131rakacaks\u0131n"", ""pkk"", ""yeniden"", ""dirilecek"", ""sayende"", ""karakol"", ""basacak"", ""bebek"", ""polis"", ""asker"", ""\u00f6\u011fretmen"", ""i\u015f\u00e7i"", ""\u015fehit"", ""edecek"", ""Bir"", ""yere"", ""gitme""]","[0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
1557110187810586627,Hedef: Yahudi Karşıtı,"#Konya2021
#İsrailHaddiniBil
O GEMİ DURMAYACAK 🇹🇷 https://t.co/95pS3RJs4S",#İsrailHaddiniBil,"[""Konya2021"", ""\u0130srailHaddiniBil"", ""O"", ""GEM\u0130"", ""DURMAYACAK"", ""https"", ""t"", ""co"", ""95pS3RJs4S""]","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
1658077641012903936,Hedef: Arap Karşıtı,"İstemekle olmuyor.Bugün ülkemizde 8 milyon civarında Arap var,hiçbiri Türkçeyi sevmiyor.Bunlar önümüzdeki süreçte vatandaş yapılacak(Trump ve Avrupa vatandaş yapın bunları demişti)Ümit Bey gereğini Hükümetle mı?Yapacak. https://t.co/dnQ4qeLbbb","hiçbiri Türkçeyi sevmiyor,Bunlar önümüzdeki süreçte vatandaş yapılacak","[""\u0130stemekle"", ""olmuyor"", ""Bug\u00fcn"", ""\u00fclkemizde"", ""8"", ""milyon"", ""civar\u0131nda"", ""Arap"", ""var"", ""hi\u00e7biri"", ""T\u00fcrk\u00e7eyi"", ""sevmiyor"", ""Bunlar"", ""\u00f6n\u00fcm\u00fczdeki"", ""s\u00fcre\u00e7te"", ""vatanda\u015f"", ""yap\u0131lacak"", ""Trump"", ""ve"", ""Avrupa"", ""vatanda\u015f"", ""yap\u0131n"", ""bunlar\u0131"", ""demi\u015fti"", ""\u00dcmit"", ""Bey"", ""gere\u011fini"", ""H\u00fck\u00fcmetle"", ""m\u0131"", ""Yapacak"", ""https"", ""t"", ""co"", ""dnQ4qeLbbb""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1658468559729889024,Hedef: Arap Karşıtı,"@DrSinanOgan Bırakmayın, ülkemde Türk kadınlarına Türk insanına bakarak tecavüz taciz eden Arap zihniyetini istemiyorum ,sokak ortasında Türk kadınına bakarak mastürbasyon yapan Arap zihniyeti istemiyorum, ümmet ümmet diyerek Türk kimliğini ayaklar altına alanları sevindirmenizi istemiyorum⬇️","Türk kadınlarına Türk insanına bakarak tecavüz taciz eden Arap zihniyetini istemiyorum,sokak ortasında Türk kadınına bakarak mastürbasyon yapan Arap zihniyeti istemiyorum","[""DrSinanOgan"", ""B\u0131rakmay\u0131n"", ""\u00fclkemde"", ""T\u00fcrk"", ""kad\u0131nlar\u0131na"", ""T\u00fcrk"", ""insan\u0131na"", ""bakarak"", ""tecav\u00fcz"", ""taciz"", ""eden"", ""Arap"", ""zihniyetini"", ""istemiyorum"", ""sokak"", ""ortas\u0131nda"", ""T\u00fcrk"", ""kad\u0131n\u0131na"", ""bakarak"", ""mast\u00fcrbasyon"", ""yapan"", ""Arap"", ""zihniyeti"", ""istemiyorum"", ""\u00fcmmet"", ""\u00fcmmet"", ""diyerek"", ""T\u00fcrk"", ""kimli\u011fini"", ""ayaklar"", ""alt\u0131na"", ""alanlar\u0131"", ""sevindirmenizi"", ""istemiyorum""]","[0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1546070591400300546,Hedef: Yunan Karşıtı,@username Yunan dongozları görüyordur herhalde.Bunlar adalar denizini yunan savaş gemilerine mezar yapacak allahın izniyle.,"Yunan dongozları,adalar denizini yunan savaş gemilerine mezar yapacak","[""username"", ""Yunan"", ""dongozlar\u0131"", ""g\u00f6r\u00fcyordur"", ""herhalde"", ""Bunlar"", ""adalar"", ""denizini"", ""yunan"", ""sava\u015f"", ""gemilerine"", ""mezar"", ""yapacak"", ""allah\u0131n"", ""izniyle""]","[0, 1, 2, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0]"
